,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Barnsley,34,46.0,19062,16639,2333,540,17,161,643,1100,184,92,61,8,12951,90,367
1,Birmingham City,35,46.0,16436,14012,2343,496,28,168,873,1187,200,109,68,7,10453,81,336
2,Blackburn,32,46.0,18060,15593,2357,530,36,161,722,1169,224,70,97,16,12419,110,356
3,Blackpool,34,46.0,18738,16223,2425,604,36,142,723,1186,191,102,37,7,12904,90,361
4,Bournemouth,32,46.0,24374,21938,2389,595,52,208,700,1158,239,119,33,8,19162,47,402
5,Bristol City,30,46.0,18618,16106,2408,570,36,96,759,1136,186,105,38,8,12709,104,308
6,Cardiff City,32,46.0,18709,16374,2245,440,23,139,907,1132,202,80,103,4,12696,90,351
7,Coventry City,25,46.0,23946,21451,2410,507,49,200,949,1169,288,152,85,16,18210,85,439
8,Derby County,31,46.0,21955,19440,2428,572,35,103,686,1184,202,121,49,15,16605,87,345
9,Fulham,29,46.0,27253,24902,2279,574,68,179,954,1013,289,126,59,4,22414,72,392
10,Huddersfield,28,46.0,21347,18989,2276,564,29,110,752,1011,204,139,52,3,16187,82,379
11,Hull City,34,46.0,20147,17783,2246,520,31,165,887,1025,222,138,39,3,14590,118,342
12,Luton Town,29,46.0,17232,14615,2495,541,22,137,781,1245,213,107,51,27,10981,122,358
13,Middlesbrough,30,46.0,19620,17041,2505,617,45,106,755,1185,273,198,14,5,14149,74,357
14,Millwall,26,46.0,19267,16779,2401,493,30,165,965,1215,229,91,91,30,13074,87,386
15,Nott'ham Forest,33,46.0,20609,18096,2422,611,35,159,693,1126,255,86,110,6,15502,91,345
16,P'borough Utd,33,46.0,20758,18306,2373,542,50,132,698,1017,183,105,28,4,15414,79,339
17,Preston,29,46.0,20629,18189,2346,505,42,149,772,1123,231,109,60,14,14633,94,409
18,QPR,27,46.0,23631,21207,2347,578,46,140,937,1068,222,121,59,1,18023,77,366
19,Reading,36,46.0,21199,18776,2330,592,34,165,721,1042,178,95,70,2,15999,93,356
20,Sheffield Utd,33,46.0,24646,22183,2359,529,58,193,978,1154,269,165,37,5,18864,104,437
21,Stoke City,34,46.0,22680,20295,2306,536,35,91,897,1087,232,90,104,7,16974,79,422
22,Swansea City,31,46.0,29305,26956,2255,634,52,149,513,982,183,78,27,2,24765,94,399
23,West Brom,29,46.0,20142,17580,2498,575,57,159,1100,1265,265,183,31,6,13656,64,386
