,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog
0,Barnsley,34,44.9,46.0,24526,2820,8644,10884,5321,721,24524,375,734,51.1,902,469,12732,1010
1,Birmingham City,35,44.3,46.0,21449,2360,6809,9501,5436,807,21446,352,676,52.1,806,372,10237,957
2,Blackburn,32,45.2,46.0,23247,2484,7923,9939,5667,855,23241,392,752,52.1,818,432,12227,959
3,Blackpool,34,46.1,46.0,23760,2854,8709,9775,5525,927,23753,334,682,49.0,802,373,12627,883
4,Bournemouth,32,56.4,46.0,29316,2892,9665,12890,7091,1145,29311,361,713,50.6,903,398,18899,1313
5,Bristol City,30,45.1,46.0,23546,2796,8017,10529,5244,807,23545,279,571,48.9,759,285,12470,1018
6,Cardiff City,32,45.2,46.0,23304,2576,7890,10213,5439,861,23303,236,495,47.7,714,374,12471,886
7,Coventry City,25,53.3,46.0,28953,2904,9775,12820,6653,1051,28949,316,672,47.0,876,374,17977,1533
8,Derby County,31,51.2,46.0,26611,3199,9877,11321,5665,731,26607,384,737,52.1,808,397,16360,914
9,Fulham,29,60.3,46.0,31960,2677,9259,15047,7937,1268,31953,407,730,55.8,836,395,22136,1559
10,Huddersfield,28,47.8,46.0,25853,3209,9398,11722,5032,680,25850,326,580,56.2,713,371,15945,1017
11,Hull City,34,46.6,46.0,24949,3029,9169,10593,5489,796,24948,326,599,54.4,763,324,14368,910
12,Luton Town,29,44.5,46.0,22426,2738,8101,8862,5697,925,22420,264,618,42.7,861,343,10774,919
13,Middlesbrough,30,49.5,46.0,24240,2278,7052,10411,7098,966,24234,352,694,50.7,796,387,13903,1111
14,Millwall,26,46.8,46.0,24218,2617,8126,10383,5958,872,24213,276,555,49.7,726,310,12866,1012
15,Nott'ham Forest,33,50.4,46.0,25519,3014,9712,10422,5699,913,25512,425,803,52.9,790,453,15224,1007
16,P'borough Utd,33,47.8,46.0,25705,3316,9482,11617,4877,614,25700,341,604,56.5,828,393,15187,1012
17,Preston,29,49.7,46.0,25610,2782,8568,10989,6280,992,25605,234,521,44.9,795,400,14395,1204
18,QPR,27,53.7,46.0,28336,3241,10612,12078,5931,828,28332,344,606,56.8,745,362,17784,1139
19,Reading,36,47.7,46.0,26222,2999,9666,11501,5339,778,26218,397,743,53.4,868,453,15766,973
20,Sheffield Utd,33,56.8,46.0,29110,2559,8779,12714,7913,1132,29106,356,653,54.5,722,395,18563,1441
21,Stoke City,34,52.1,46.0,27302,2696,8900,12717,5934,812,27297,270,521,51.8,746,339,16708,1205
22,Swansea City,31,63.3,46.0,33435,3170,10846,16242,6569,759,33434,364,690,52.8,700,432,24348,1211
23,West Brom,29,51.3,46.0,24894,2288,7847,10736,6594,1002,24887,294,573,51.3,760,351,13434,1197
