,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Barnsley,34,46.0,33,466,154,33.0,10.13,3.35,0.07,0.2,19.1,27,2,2,43.5,42.0,0.09,-10.5,-11.0
1,Birmingham City,35,46.0,49,528,154,29.2,11.48,3.35,0.09,0.3,16.9,15,3,3,60.2,57.9,0.11,-11.2,-11.9
2,Blackburn,32,46.0,58,502,181,36.1,10.91,3.93,0.11,0.3,17.4,18,4,6,60.7,56.0,0.12,-2.7,-2.0
3,Blackpool,34,46.0,53,496,151,30.4,10.78,3.28,0.09,0.31,16.5,15,6,7,57.5,52.7,0.11,-4.5,-5.7
4,Bournemouth,32,46.0,73,576,204,35.4,12.52,4.43,0.12,0.34,16.0,17,4,5,75.0,71.1,0.13,-2.0,-2.1
5,Bristol City,30,46.0,60,476,160,33.6,10.35,3.48,0.12,0.37,15.8,6,1,1,59.2,58.4,0.13,0.8,0.6
6,Cardiff City,32,46.0,49,509,169,33.2,11.07,3.67,0.09,0.28,16.2,11,1,1,58.2,57.4,0.11,-9.2,-9.4
7,Coventry City,25,46.0,56,655,218,33.3,14.24,4.74,0.08,0.24,17.6,22,3,4,74.2,71.1,0.11,-18.2,-18.1
8,Derby County,31,46.0,43,465,144,31.0,10.11,3.13,0.08,0.27,19.2,31,4,4,46.6,43.4,0.1,-3.6,-4.4
9,Fulham,29,46.0,102,732,265,36.2,15.91,5.76,0.13,0.36,17.0,18,6,7,95.1,89.6,0.13,6.9,6.4
10,Huddersfield,28,46.0,61,504,184,36.5,10.96,4.0,0.12,0.32,17.7,11,2,3,58.1,55.8,0.11,2.9,3.2
11,Hull City,34,46.0,39,466,137,29.4,10.13,2.98,0.08,0.28,17.4,11,0,1,49.5,48.8,0.11,-10.5,-9.8
12,Luton Town,29,46.0,58,473,152,32.1,10.28,3.3,0.11,0.36,16.3,10,4,6,62.2,58.5,0.13,-4.2,-4.5
13,Middlesbrough,30,46.0,54,536,187,34.9,11.65,4.07,0.09,0.26,16.7,24,6,7,69.3,64.3,0.12,-15.3,-16.3
14,Millwall,26,46.0,51,522,176,33.7,11.35,3.83,0.09,0.27,16.5,16,3,5,58.4,54.4,0.11,-7.4,-6.4
15,Nott'ham Forest,33,46.0,71,566,189,33.4,12.3,4.11,0.11,0.34,18.1,19,6,7,68.7,63.7,0.12,2.3,1.3
16,P'borough Utd,33,46.0,41,434,144,33.2,9.43,3.13,0.08,0.25,19.4,29,5,5,46.8,42.9,0.1,-5.8,-6.9
17,Preston,29,46.0,49,516,165,32.0,11.22,3.59,0.09,0.27,17.3,16,4,5,57.3,53.7,0.11,-8.3,-8.7
18,QPR,27,46.0,59,524,183,34.9,11.39,3.98,0.11,0.31,18.0,16,3,4,57.7,54.6,0.11,1.3,1.4
19,Reading,36,46.0,53,462,158,34.2,10.04,3.43,0.11,0.31,18.1,26,4,4,49.8,47.2,0.11,3.2,1.8
20,Sheffield Utd,33,46.0,62,569,183,32.2,12.37,3.98,0.1,0.32,16.1,15,3,4,72.8,69.8,0.12,-10.8,-10.8
21,Stoke City,34,46.0,53,529,160,30.2,11.5,3.48,0.09,0.31,17.5,12,3,5,57.3,54.0,0.11,-4.3,-4.0
22,Swansea City,31,46.0,58,495,183,37.0,10.76,3.98,0.12,0.31,19.1,18,1,1,52.3,52.0,0.11,5.7,5.0
23,West Brom,29,46.0,48,640,176,27.5,13.91,3.83,0.07,0.25,16.4,14,4,7,75.9,70.4,0.11,-27.9,-26.4
