,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,Ajax,30,34.0,1226,36.06,948,99,44,79,39,17,163,4.79,123,9,4,18,6,3
1,AZ Alkmaar,28,34.0,816,24.0,629,58,42,36,31,20,109,3.21,80,4,8,7,6,4
2,Cambuur,27,34.0,597,17.56,440,53,25,26,36,17,84,2.47,54,7,4,9,8,2
3,Feyenoord,31,34.0,1137,33.44,830,95,77,66,40,29,119,3.5,74,8,15,16,3,3
4,Fortuna Sittard,29,34.0,601,17.68,383,71,49,31,39,28,59,1.74,39,4,3,6,6,1
5,Go Ahead Eag,26,34.0,624,18.35,440,65,31,34,29,25,57,1.68,34,7,5,7,4,0
6,Groningen,28,34.0,640,18.82,436,66,34,39,45,20,68,2.0,47,4,5,5,4,3
7,Heerenveen,32,34.0,680,20.0,486,62,43,37,30,22,57,1.68,39,6,0,6,5,1
8,Heracles Almelo,31,34.0,714,21.0,468,63,43,59,40,41,50,1.47,31,1,6,6,3,3
9,NEC Nijmegen,25,34.0,713,20.97,480,60,61,48,37,27,62,1.82,43,4,3,7,3,2
10,PSV Eindhoven,30,34.0,1060,31.18,791,74,70,76,28,21,150,4.41,113,12,7,13,2,3
11,RKC Waalwijk,26,34.0,628,18.47,456,62,27,33,29,21,60,1.76,49,3,2,2,0,4
12,Sparta R'dam,32,34.0,567,16.68,388,54,26,32,39,28,54,1.59,35,4,3,4,4,4
13,Twente,28,34.0,723,21.26,501,73,39,49,38,23,82,2.41,57,3,7,7,7,1
14,Utrecht,36,34.0,804,23.65,544,102,44,62,28,24,79,2.32,51,7,3,12,6,0
15,Vitesse,29,34.0,864,25.41,608,89,44,51,53,19,70,2.06,48,5,6,4,5,2
16,Willem II,33,34.0,611,17.97,419,48,46,38,35,25,48,1.41,35,1,4,7,1,0
17,Zwolle,32,34.0,732,21.53,519,66,35,40,42,30,50,1.47,35,2,4,4,3,2
