,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
0,Ajax,30,34.0,19110,23106,82.7,324470,118313,8886,10010,88.8,7945,9059,87.7,1666,2631,63.3,71,70.2,97.9,0.8,526,1914,657,115,1849
1,AZ Alkmaar,28,34.0,16048,20010,80.2,285231,101337,7169,8121,88.3,6792,7837,86.7,1645,2945,55.9,49,41.7,44.2,7.3,354,1246,382,110,1235
2,Cambuur,27,34.0,11540,15236,75.7,227383,84299,4391,5250,83.6,5123,6070,84.4,1733,3083,56.2,38,30.3,27.6,7.7,268,774,197,42,775
3,Feyenoord,31,34.0,16169,20058,80.6,280250,99711,7438,8370,88.9,6510,7537,86.4,1647,2872,57.3,57,54.1,52.6,2.9,504,1485,432,81,1386
4,Fortuna Sittard,29,34.0,9858,13809,71.4,193480,77880,3935,4746,82.9,4207,5288,79.6,1486,2970,50.0,24,26.0,23.8,-2.0,249,714,179,50,693
5,Go Ahead Eag,26,34.0,11455,15556,73.6,210108,85365,4864,5786,84.1,4820,5879,82.0,1380,2815,49.0,27,26.5,27.1,0.5,260,794,228,66,867
6,Groningen,28,34.0,11020,14950,73.7,232168,85977,3458,4218,82.0,5502,6487,84.8,1865,3548,52.6,27,26.1,24.7,0.9,250,811,193,69,729
7,Heerenveen,32,34.0,11987,15850,75.6,222693,85725,5087,5998,84.8,5005,6025,83.1,1547,2916,53.1,26,33.8,31.1,-7.8,289,874,206,51,898
8,Heracles Almelo,31,34.0,11667,15461,75.5,218463,81244,4748,5602,84.8,5095,6095,83.6,1480,2752,53.8,18,29.8,29.0,-11.8,288,898,221,85,825
9,NEC Nijmegen,25,34.0,12559,16225,77.4,219994,84645,5662,6568,86.2,5274,6225,84.7,1255,2481,50.6,19,28.7,27.2,-9.7,300,856,197,50,821
10,PSV Eindhoven,30,34.0,17087,21049,81.2,281098,97235,8487,9589,88.5,6382,7354,86.8,1497,2654,56.4,66,58.4,65.6,7.6,456,1590,417,62,1360
11,RKC Waalwijk,26,34.0,10483,14514,72.2,202403,88635,4294,5273,81.4,4411,5478,80.5,1465,2862,51.2,31,29.7,30.5,1.3,283,865,232,67,858
12,Sparta R'dam,32,34.0,9710,13979,69.5,188613,80318,3969,4906,80.9,4081,5240,77.9,1396,2988,46.7,22,22.5,24.8,-0.5,235,866,183,62,796
13,Twente,28,34.0,12410,16699,74.3,223227,81912,5542,6551,84.6,5108,6279,81.4,1381,2873,48.1,33,37.2,36.5,-4.2,303,993,244,73,899
14,Utrecht,36,34.0,11806,16024,73.7,220527,91008,4873,5906,82.5,5123,6290,81.4,1480,2805,52.8,34,44.2,45.4,-10.2,354,1063,336,99,1098
15,Vitesse,29,34.0,12157,16473,73.8,215342,85572,5624,6658,84.5,4614,5736,80.4,1426,2922,48.8,27,32.4,31.9,-5.4,356,984,303,98,983
16,Willem II,33,34.0,10940,15073,72.6,205786,78948,4537,5441,83.4,4678,5775,81.0,1425,2953,48.3,23,25.0,24.8,-2.0,259,937,188,60,798
17,Zwolle,32,34.0,11629,16061,72.4,217412,89644,5014,6136,81.7,4722,5871,80.4,1558,3009,51.8,21,29.8,31.4,-8.8,321,980,257,97,980
