,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Ajax,30,34.0,23106,21479,1556,365,57,146,813,725,246,82,70,0,19110,71,353
1,AZ Alkmaar,28,34.0,20010,18390,1545,340,52,174,658,701,184,68,60,6,16048,75,317
2,Cambuur,27,34.0,15236,13489,1698,421,28,141,401,713,118,73,20,1,11540,49,235
3,Feyenoord,31,34.0,20058,18393,1596,342,59,104,704,761,233,97,79,0,16169,69,327
4,Fortuna Sittard,29,34.0,13809,12169,1593,357,24,114,527,690,134,46,81,0,9858,47,264
5,Go Ahead Eag,26,34.0,15556,13814,1686,369,36,88,512,780,129,56,48,2,11455,56,337
6,Groningen,28,34.0,14950,13277,1622,427,42,169,639,705,139,83,38,2,11020,51,229
7,Heerenveen,32,34.0,15850,14144,1651,337,43,108,546,732,167,73,80,1,11987,55,262
8,Heracles Almelo,31,34.0,15461,13795,1605,327,21,187,643,788,156,73,65,0,11667,61,321
9,NEC Nijmegen,25,34.0,16225,14510,1663,404,44,86,489,692,142,60,69,1,12559,52,293
10,PSV Eindhoven,30,34.0,21049,19285,1710,353,78,166,600,840,239,75,122,1,17087,54,350
11,RKC Waalwijk,26,34.0,14514,12821,1638,383,46,140,546,714,147,77,51,1,10483,55,311
12,Sparta R'dam,32,34.0,13979,12287,1643,378,24,84,497,765,115,79,30,0,9710,49,267
13,Twente,28,34.0,16699,14988,1672,429,49,121,527,825,135,95,15,3,12410,39,266
14,Utrecht,36,34.0,16024,14207,1773,406,31,93,730,847,199,63,113,0,11806,44,366
15,Vitesse,29,34.0,16473,14684,1731,410,58,130,652,793,171,52,93,0,12157,58,306
16,Willem II,33,34.0,15073,13338,1680,358,21,93,656,790,159,74,45,4,10940,55,282
17,Zwolle,32,34.0,16061,14256,1742,400,30,103,655,829,159,72,64,1,11629,63,339
