,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog
0,Ajax,30,66.0,34.0,26888,1797,6154,12034,8919,1575,26879,400,657,60.9,632,352,18809,1813
1,AZ Alkmaar,28,55.8,34.0,23753,2111,7055,11265,5637,810,23746,308,548,56.2,666,326,15850,1198
2,Cambuur,27,48.3,34.0,19127,2952,7759,8065,3512,498,19122,267,486,54.9,587,266,11254,753
3,Feyenoord,31,58.5,34.0,23843,1809,5975,11375,6730,1154,23839,462,712,64.9,668,333,15942,1356
4,Fortuna Sittard,29,43.4,34.0,17840,2633,7176,7481,3405,528,17836,329,576,57.1,619,264,9696,671
5,Go Ahead Eag,26,47.2,34.0,19671,2771,7637,8210,4020,624,19669,285,530,53.8,616,340,11239,840
6,Groningen,28,48.9,34.0,18759,2777,7581,7725,3641,579,18758,251,486,51.6,619,263,10798,712
7,Heerenveen,32,47.6,34.0,19664,2642,7613,8275,3982,668,19661,299,552,54.2,585,297,11827,881
8,Heracles Almelo,31,46.8,34.0,19552,2151,6790,8619,4412,653,19550,383,671,57.1,676,344,11479,812
9,NEC Nijmegen,25,47.3,34.0,20379,2550,7788,8895,3939,608,20376,379,681,55.7,664,386,12359,798
10,PSV Eindhoven,30,57.7,34.0,25113,1581,6048,12036,7260,1117,25112,422,770,54.8,697,347,16903,1335
11,RKC Waalwijk,26,43.5,34.0,18558,2597,7242,7604,3931,578,18556,288,572,50.3,635,316,10294,840
12,Sparta R'dam,32,42.0,34.0,17958,2249,6306,8159,3684,498,17956,227,454,50.0,563,247,9546,775
13,Twente,28,51.2,34.0,20700,2076,6446,9530,4937,739,20694,297,593,50.1,630,258,12229,866
14,Utrecht,36,48.4,34.0,20088,2187,6453,8933,4939,841,20082,285,600,47.5,632,318,11634,1076
15,Vitesse,29,52.1,34.0,20424,2112,6648,9230,4778,744,20420,301,566,53.2,662,334,11961,952
16,Willem II,33,45.1,34.0,18962,2151,6184,8294,4699,512,18962,349,627,55.7,622,308,10744,783
17,Zwolle,32,50.3,34.0,20154,2373,6653,8941,4801,672,20150,294,582,50.5,698,336,11384,950
