,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,Alavés,33,38.0,634,16.68,385,87,38,45,53,26,48,1.26,27,6,4,5,6,0
1,Athletic Club,26,38.0,818,21.53,574,93,44,42,47,18,72,1.89,52,9,1,2,5,3
2,Atlético Madrid,26,38.0,828,21.79,585,86,55,41,40,21,112,2.95,84,6,5,8,3,6
3,Barcelona,38,38.0,940,24.74,719,61,66,34,40,20,122,3.21,94,5,7,8,6,2
4,Betis,31,38.0,896,23.58,657,75,55,46,41,22,92,2.42,63,5,10,5,8,1
5,Cádiz,33,38.0,688,18.11,450,86,38,47,41,26,54,1.42,31,7,3,5,6,2
6,Celta Vigo,25,38.0,710,18.68,539,42,25,50,34,20,72,1.89,52,2,3,11,1,3
7,Elche,28,38.0,589,15.5,418,60,40,23,28,20,67,1.76,48,4,7,3,2,3
8,Espanyol,34,38.0,733,19.29,516,59,46,40,42,30,70,1.84,45,5,4,8,3,5
9,Getafe,31,38.0,699,18.39,459,84,32,41,60,23,54,1.42,38,7,3,2,1,3
10,Granada,32,38.0,709,18.66,482,66,42,49,40,30,69,1.82,45,8,3,6,2,5
11,Levante,31,38.0,715,18.82,474,80,47,65,27,22,79,2.08,54,3,4,9,6,3
12,Mallorca,33,38.0,761,20.03,487,91,44,55,55,29,61,1.61,32,6,4,7,8,4
13,Osasuna,29,38.0,719,18.92,495,85,27,49,43,20,62,1.63,42,7,0,7,4,2
14,Rayo Vallecano,28,38.0,869,22.87,599,97,37,54,51,31,65,1.71,36,5,7,8,5,4
15,Real Madrid,31,38.0,1203,31.66,914,67,83,55,49,35,138,3.63,102,2,13,10,8,3
16,Real Sociedad,32,38.0,768,20.21,521,70,56,57,46,18,69,1.82,38,3,6,12,10,0
17,Sevilla,33,38.0,787,20.71,572,78,35,35,43,24,93,2.45,62,9,8,7,5,2
18,Valencia,34,38.0,712,18.74,469,91,44,26,64,18,83,2.18,53,8,7,3,11,1
19,Villarreal,29,38.0,797,20.97,581,72,57,38,29,20,112,2.95,73,11,11,10,6,1
