,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
0,Alavés,33,38.0,9676,14175,68.3,191045,85745,4158,5174,80.4,3774,4954,76.2,1524,3158,48.3,20,27.8,22.8,-7.8,260,835,199,84,709
1,Athletic Club,26,38.0,12947,17283,74.9,229196,91477,5845,6826,85.6,5198,6434,80.8,1437,2830,50.8,34,41.3,36.0,-7.3,351,1056,306,82,1141
2,Atlético Madrid,26,38.0,15076,19098,78.9,253140,88721,7378,8289,89.0,5269,6266,84.1,1640,3060,53.6,45,42.8,39.6,2.2,347,989,325,66,1048
3,Barcelona,38,38.0,21489,25006,85.9,359280,114933,10207,11109,91.9,8433,9401,89.7,1949,2912,66.9,52,50.4,54.7,1.6,402,1698,390,99,1416
4,Betis,31,38.0,15702,19444,80.8,273534,99419,7360,8284,88.8,6318,7309,86.4,1583,2873,55.1,45,42.3,35.1,2.7,395,1136,294,51,1100
5,Cádiz,33,38.0,10136,14415,70.3,195586,77862,4254,5031,84.6,3979,5054,78.7,1552,3292,47.1,21,28.6,28.9,-7.6,277,829,233,120,735
6,Celta Vigo,25,38.0,16007,20591,77.7,286771,95796,6936,7982,86.9,6579,7795,84.4,1837,3366,54.6,29,31.9,31.6,-2.9,286,1105,285,84,1013
7,Elche,28,38.0,12948,16836,76.9,237190,93093,5745,6572,87.4,5080,6020,84.4,1676,3129,53.6,29,28.9,24.8,0.1,261,861,204,78,759
8,Espanyol,34,38.0,13360,16919,79.0,237866,88609,6031,6763,89.2,5391,6281,85.8,1475,2817,52.4,25,28.4,24.8,-3.4,300,993,212,59,821
9,Getafe,31,38.0,10278,14607,70.4,198745,82394,4498,5432,82.8,3949,5095,77.5,1561,3239,48.2,26,22.9,19.7,3.1,288,808,166,73,675
10,Granada,32,38.0,10582,14889,71.1,199289,81840,4550,5400,84.3,4234,5295,80.0,1460,3218,45.4,28,30.9,25.9,-2.9,306,840,205,82,770
11,Levante,31,38.0,12584,16422,76.6,226757,88940,5742,6544,87.7,4982,5929,84.0,1501,2917,51.5,34,36.6,25.8,-2.6,318,968,254,63,970
12,Mallorca,33,38.0,11046,15023,73.5,194935,82006,5149,6054,85.1,4101,5153,79.6,1312,2691,48.8,23,29.7,28.3,-6.7,303,806,235,64,819
13,Osasuna,29,38.0,11904,16522,72.0,228054,96280,5076,6144,82.6,4756,6063,78.4,1702,3278,51.9,23,25.6,27.6,-2.6,297,1099,298,124,947
14,Rayo Vallecano,28,38.0,12747,16933,75.3,237761,93061,5524,6408,86.2,5119,6188,82.7,1719,3277,52.5,28,36.6,35.8,-8.6,359,1012,267,109,957
15,Real Madrid,31,38.0,21373,24517,87.2,355560,112657,10630,11395,93.3,7948,8751,90.8,1987,2902,68.5,59,57.3,55.1,1.7,526,1694,455,57,1367
16,Real Sociedad,32,38.0,15403,19304,79.8,269269,98193,6964,7887,88.3,6383,7429,85.9,1569,2800,56.0,22,37.9,35.0,-15.9,313,1067,315,69,1091
17,Sevilla,33,38.0,18327,22234,82.4,341688,109533,7686,8529,90.1,7941,8940,88.8,2275,3745,60.7,40,37.7,34.6,2.3,342,1207,305,112,1020
18,Valencia,34,38.0,9627,13777,69.9,187440,77718,3923,4782,82.0,3835,4951,77.5,1506,3098,48.6,30,29.6,27.4,0.4,288,900,256,75,833
19,Villarreal,29,38.0,16679,20401,81.8,297067,102775,7326,8226,89.1,7130,8098,88.0,1742,2825,61.7,51,54.3,49.9,-3.3,363,1278,349,66,1229
