,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,Alavés,33,27.9,38,3420,90,100,38.0,418,82,247,167,20,277,0.82,31,65,-34,-0.89,41.1,64.6,-23.4,-0.62
1,Athletic Club,26,26.9,38,3420,90,100,38.0,418,81,237,180,21,209,1.45,43,36,7,0.18,54.4,43.4,11.0,0.29
2,Atlético Madrid,26,28.1,38,3420,90,100,38.0,418,79,244,170,26,159,1.87,65,43,22,0.58,58.6,38.7,19.9,0.52
3,Barcelona,38,26.2,38,3420,90,100,38.0,418,82,254,159,20,264,1.92,68,38,30,0.79,67.7,39.8,27.9,0.73
4,Betis,31,28.9,38,3420,90,100,38.0,418,82,251,161,21,266,1.71,62,40,22,0.58,59.0,48.8,10.2,0.27
5,Cádiz,33,28.5,38,3420,90,100,38.0,418,81,246,172,22,270,1.03,35,51,-16,-0.42,45.1,55.0,-9.9,-0.26
6,Celta Vigo,25,28.4,38,3420,90,100,38.0,418,82,261,155,21,222,1.21,43,43,0,0.0,46.7,49.6,-2.8,-0.07
7,Elche,28,29.1,38,3420,90,100,38.0,418,80,236,179,22,255,1.11,40,52,-12,-0.32,36.3,64.8,-28.6,-0.75
8,Espanyol,34,27.6,38,3420,90,100,38.0,418,81,234,181,21,269,1.11,40,53,-13,-0.34,40.4,57.0,-16.6,-0.44
9,Getafe,31,26.6,38,3420,90,100,38.0,418,83,259,153,19,251,1.03,33,41,-8,-0.21,33.4,42.2,-8.8,-0.23
10,Granada,32,28.1,38,3420,90,100,38.0,418,80,241,175,22,243,1.0,44,61,-17,-0.45,45.0,64.5,-19.5,-0.51
11,Levante,31,28.0,38,3420,90,100,38.0,418,81,237,180,21,261,0.92,51,76,-25,-0.66,61.2,60.9,0.3,0.01
12,Mallorca,33,27.9,38,3420,90,100,38.0,418,82,237,178,20,273,1.03,36,63,-27,-0.71,44.0,54.3,-10.2,-0.27
13,Osasuna,29,27.7,38,3420,90,100,38.0,418,83,242,175,17,269,1.24,37,51,-14,-0.37,40.3,48.8,-8.4,-0.22
14,Rayo Vallecano,28,27.5,38,3420,90,100,38.0,418,81,238,178,20,224,1.11,39,50,-11,-0.29,50.2,51.9,-1.7,-0.05
15,Real Madrid,31,27.7,38,3420,90,100,38.0,418,83,256,163,19,248,2.26,80,31,49,1.29,78.9,48.2,30.7,0.81
16,Real Sociedad,32,25.7,38,3420,90,100,38.0,418,81,235,179,19,237,1.63,40,37,3,0.08,57.9,44.1,13.8,0.36
17,Sevilla,33,28.6,38,3420,90,100,38.0,418,79,238,179,25,262,1.84,53,30,23,0.61,48.4,43.3,5.1,0.13
18,Valencia,34,24.8,38,3420,90,100,38.0,418,81,235,179,20,246,1.26,48,53,-5,-0.13,43.6,49.0,-5.4,-0.14
19,Villarreal,29,28.0,38,3420,90,100,38.0,418,81,235,183,21,234,1.55,63,37,26,0.68,67.5,50.9,16.6,0.44
