,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog
0,Alavés,33,42.0,38.0,18237,2225,6200,8056,4183,602,18230,271,504,53.8,616,278,9502,683
1,Athletic Club,26,48.1,38.0,21164,2069,6216,9489,5675,803,21157,297,530,56.0,569,341,12771,1120
2,Atlético Madrid,26,50.6,38.0,22888,2006,6771,10682,5624,852,22883,383,600,63.8,555,353,14879,1029
3,Barcelona,38,64.2,38.0,28599,2231,7060,14269,7478,1037,28592,474,747,63.5,623,358,21236,1383
4,Betis,31,53.7,38.0,23522,2304,7314,10894,5517,821,23516,372,655,56.8,588,364,15475,1064
5,Cádiz,33,41.3,38.0,18480,2217,6516,7853,4322,636,18474,281,519,54.1,576,291,9963,715
6,Celta Vigo,25,55.2,38.0,24629,2273,7461,11725,5653,712,24623,346,591,58.5,572,310,15792,997
7,Elche,28,48.4,38.0,20709,2490,7634,9027,4239,493,20708,339,597,56.8,650,330,12776,743
8,Espanyol,34,46.9,38.0,20860,2606,7523,9132,4413,577,20855,373,616,60.6,563,331,13157,800
9,Getafe,31,41.5,38.0,18524,2004,5986,8675,4066,544,18519,242,452,53.5,603,301,10118,657
10,Granada,32,44.7,38.0,18945,2410,6707,8206,4213,588,18940,270,495,54.5,588,321,10398,753
11,Levante,31,47.2,38.0,20350,2377,7382,8789,4443,704,20338,348,683,51.0,614,302,12396,942
12,Mallorca,33,45.3,38.0,19186,2232,6589,8303,4545,641,19179,368,612,60.1,613,404,10841,795
13,Osasuna,29,46.9,38.0,20431,2017,6054,9229,5333,688,20423,261,467,55.9,597,309,11714,926
14,Rayo Vallecano,28,49.9,38.0,21141,2167,6579,9646,5174,729,21137,357,639,55.9,696,371,12552,932
15,Real Madrid,31,59.9,38.0,28222,2399,8137,12007,8326,1188,28210,456,780,58.5,495,277,21131,1329
16,Real Sociedad,32,54.3,38.0,23261,2574,7485,10605,5412,843,23251,360,670,53.7,626,391,15103,1063
17,Sevilla,33,59.4,38.0,25838,2692,8877,11337,5805,740,25835,305,588,51.9,589,326,18112,995
18,Valencia,34,43.6,38.0,17786,1994,5783,7484,4763,625,17778,360,642,56.1,656,294,9447,810
19,Villarreal,29,56.8,38.0,24104,2441,7718,10740,5871,965,24098,452,748,60.4,570,332,16327,1204
