,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Alavés,33,38.0,29,373,111,29.8,9.82,2.92,0.06,0.21,18.2,15,6,7,41.1,35.6,0.1,-12.1,-12.6
1,Athletic Club,26,38.0,40,460,150,32.6,12.11,3.95,0.08,0.25,16.8,11,3,7,54.4,48.8,0.11,-14.4,-11.8
2,Atlético Madrid,26,38.0,63,458,152,33.2,12.05,4.0,0.13,0.39,17.5,8,4,5,58.6,55.3,0.12,4.4,3.7
3,Barcelona,38,38.0,68,511,177,34.6,13.45,4.66,0.12,0.35,17.1,15,6,7,67.7,62.2,0.12,0.3,-0.2
4,Betis,31,38.0,60,509,182,35.8,13.39,4.79,0.11,0.3,18.4,21,6,6,59.0,54.3,0.11,1.0,-0.3
5,Cádiz,33,38.0,35,405,118,29.1,10.66,3.11,0.08,0.27,17.9,14,3,6,45.1,40.3,0.1,-10.1,-8.3
6,Celta Vigo,25,38.0,43,405,135,33.3,10.66,3.55,0.1,0.3,18.3,14,3,6,46.7,41.9,0.11,-3.7,-1.9
7,Elche,28,38.0,39,334,106,31.7,8.79,2.79,0.11,0.36,18.0,8,1,1,36.3,35.5,0.11,2.7,2.5
8,Espanyol,34,38.0,39,403,128,31.8,10.61,3.37,0.08,0.27,19.5,24,5,5,40.4,36.5,0.09,-1.4,-2.5
9,Getafe,31,38.0,31,404,111,27.5,10.63,2.92,0.07,0.25,20.6,29,3,5,33.4,29.5,0.07,-2.4,-1.5
10,Granada,32,38.0,43,421,131,31.1,11.08,3.45,0.1,0.31,19.2,12,3,5,45.0,41.2,0.1,-2.0,-1.2
11,Levante,31,38.0,51,430,146,34.0,11.32,3.84,0.1,0.29,17.7,14,8,13,61.2,52.0,0.12,-10.2,-9.0
12,Mallorca,33,38.0,33,440,131,29.8,11.58,3.45,0.06,0.21,19.5,23,6,7,44.0,38.6,0.09,-11.0,-11.6
13,Osasuna,29,38.0,37,425,114,26.8,11.18,3.0,0.07,0.27,19.6,11,6,8,40.3,34.9,0.08,-3.3,-3.9
14,Rayo Vallecano,28,38.0,38,500,133,26.6,13.16,3.5,0.07,0.26,18.5,27,4,4,50.2,47.0,0.1,-12.2,-13.0
15,Real Madrid,31,38.0,80,645,243,37.7,16.97,6.39,0.11,0.3,18.8,21,8,12,78.9,70.5,0.11,1.1,1.5
16,Real Sociedad,32,38.0,40,430,143,33.3,11.32,3.76,0.07,0.22,17.1,18,9,10,57.9,50.1,0.12,-17.9,-19.1
17,Sevilla,33,38.0,51,430,139,32.3,11.32,3.66,0.11,0.35,17.0,10,2,3,48.4,46.0,0.11,2.6,3.0
18,Valencia,34,38.0,45,394,129,32.7,10.37,3.39,0.09,0.29,18.9,18,8,9,43.6,37.3,0.1,1.4,-0.3
19,Villarreal,29,38.0,62,449,164,36.5,11.82,4.32,0.13,0.35,15.3,8,5,6,67.5,63.8,0.15,-5.5,-6.8
