,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,América,33,34.0,767,22.56,512,95,43,36,64,17,76,2.24,49,7,5,2,9,4
1,Atlas,23,34.0,718,21.12,491,81,34,46,39,27,58,1.71,42,4,1,10,1,0
2,Atlético,31,34.0,685,20.15,464,84,31,31,48,27,65,1.91,39,9,4,7,4,2
3,Cruz Azul,38,34.0,611,17.97,393,75,23,46,52,22,65,1.91,35,8,4,7,8,3
4,FC Juárez,41,34.0,520,15.29,343,62,27,25,46,17,42,1.24,19,6,3,7,6,1
5,Guadalajara,35,34.0,712,20.94,477,72,46,43,57,17,56,1.65,28,5,9,6,8,0
6,León,31,34.0,675,19.85,487,61,30,45,26,26,51,1.5,38,1,3,6,2,1
7,Mazatlán,33,34.0,516,15.18,341,58,27,28,41,21,58,1.71,35,7,3,8,5,0
8,Monterrey,31,34.0,863,25.38,627,90,39,47,38,22,70,2.06,46,6,4,7,5,2
9,Necaxa,37,34.0,755,22.21,520,85,36,49,42,23,62,1.82,42,4,3,5,6,2
10,Pachuca,31,34.0,900,26.47,623,81,65,61,41,29,75,2.21,49,4,6,11,4,1
11,Puebla,31,34.0,829,24.38,532,95,49,70,60,23,68,2.0,42,5,1,9,9,2
12,Querétaro,41,34.0,643,18.91,421,79,39,35,44,25,43,1.26,26,3,8,3,3,0
13,Santos,31,34.0,833,24.5,536,101,51,58,66,21,75,2.21,45,8,6,6,8,2
14,Tijuana,35,34.0,741,21.79,528,55,52,41,41,24,46,1.35,32,2,2,4,4,2
15,Toluca,35,34.0,731,21.5,487,87,32,41,66,18,72,2.12,46,7,5,4,10,0
16,UANL,29,34.0,868,25.53,625,65,60,53,39,26,99,2.91,73,3,10,8,4,1
17,UNAM,35,34.0,843,24.79,595,87,47,57,30,27,72,2.12,51,5,7,4,3,2
