,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
0,América,33,34.0,11497,14745,78.0,220451,82480,4728,5413,87.3,4912,5782,85.0,1629,2910,56.0,28,32.3,29.3,-4.3,335,903,234,100,766
1,Atlas,23,34.0,10150,13685,74.2,202127,83531,3959,4692,84.4,4382,5307,82.6,1588,2919,54.4,29,26.5,28.1,2.5,313,1052,233,107,850
2,Atlético,31,34.0,8689,12148,71.5,175790,74826,3239,3951,82.0,3866,4822,80.2,1407,2735,51.4,25,30.7,25.6,-5.7,287,841,200,79,775
3,Cruz Azul,38,34.0,11070,14553,76.1,217210,81570,4355,5053,86.2,4889,5826,83.9,1604,2980,53.8,24,25.7,26.0,-1.7,247,953,209,67,831
4,FC Juárez,41,34.0,10941,14204,77.0,206573,78632,4472,5184,86.3,4932,5830,84.6,1337,2512,53.2,15,19.4,20.4,-4.4,220,831,154,42,762
5,Guadalajara,35,34.0,12676,16029,79.1,230660,85115,5524,6281,87.9,5434,6386,85.1,1412,2579,54.7,21,22.9,22.0,-1.9,300,998,184,48,894
6,León,31,34.0,13179,16307,80.8,247165,90927,5408,6114,88.5,5975,6870,87.0,1595,2634,60.6,21,34.2,33.0,-13.2,290,1053,300,61,1080
7,Mazatlán,33,34.0,9032,12470,72.4,174220,72981,3643,4421,82.4,3871,4818,80.3,1297,2524,51.4,23,21.1,17.6,1.9,219,620,161,58,631
8,Monterrey,31,34.0,11028,14284,77.2,210754,86251,4495,5239,85.8,4889,5771,84.7,1438,2549,56.4,29,34.5,30.1,-5.5,372,1044,311,93,1054
9,Necaxa,37,34.0,10292,13787,74.7,201968,82717,3997,4753,84.1,4637,5649,82.1,1485,2720,54.6,27,28.8,24.3,-1.8,340,1039,214,92,912
10,Pachuca,31,34.0,10454,13918,75.1,201503,81937,4300,5041,85.3,4445,5424,82.0,1462,2696,54.2,33,35.9,27.0,-2.9,393,1046,241,73,969
11,Puebla,31,34.0,9701,13012,74.6,189574,78432,4104,4792,85.6,3847,4766,80.7,1526,2760,55.3,22,30.2,25.3,-8.2,345,820,211,94,701
12,Querétaro,41,34.0,9225,12617,73.1,181605,74099,3607,4275,84.4,4116,5055,81.4,1322,2634,50.2,15,26.6,23.7,-11.6,274,792,178,79,717
13,Santos,31,34.0,9452,13142,71.9,177241,76978,4243,5053,84.0,3688,4666,79.0,1285,2648,48.5,27,30.1,29.6,-3.1,341,943,216,73,879
14,Tijuana,35,34.0,10459,13895,75.3,192311,79200,4528,5303,85.4,4286,5303,80.8,1327,2431,54.6,16,26.7,24.0,-10.7,305,922,229,64,942
15,Toluca,35,34.0,11749,15073,77.9,222718,88254,5030,5744,87.6,4823,5742,84.0,1603,2790,57.5,27,28.3,22.6,-1.3,311,950,165,59,815
16,UANL,29,34.0,13353,16461,81.1,251880,91660,5478,6130,89.4,5939,6829,87.0,1676,2775,60.4,40,35.6,33.1,4.4,362,1141,276,118,1017
17,UNAM,35,34.0,11011,14215,77.5,214705,87509,4416,5117,86.3,4710,5585,84.3,1628,2786,58.4,28,32.2,24.6,-4.2,386,989,215,75,923
