,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,América,33,34.0,14745,12979,1738,512,25,162,750,739,170,72,71,2,11497,28,212
1,Atlas,23,34.0,13685,11937,1691,418,20,164,704,780,163,34,106,2,10150,57,277
2,Atlético,31,34.0,12148,10365,1739,433,18,129,592,771,130,32,66,1,8689,44,229
3,Cruz Azul,38,34.0,14553,12804,1700,444,33,191,561,728,146,34,74,5,11070,49,243
4,FC Juárez,41,34.0,14204,12453,1708,482,14,123,424,711,105,58,30,0,10941,43,272
5,Guadalajara,35,34.0,16029,14207,1780,493,21,165,477,793,147,50,66,1,12676,42,246
6,León,31,34.0,16307,14525,1711,534,54,192,519,672,159,81,38,0,13179,71,271
7,Mazatlán,33,34.0,12470,10730,1692,480,12,80,428,705,94,31,51,0,9032,48,249
8,Monterrey,31,34.0,14284,12508,1706,502,18,147,611,709,179,66,78,0,11028,70,264
9,Necaxa,37,34.0,13787,12074,1670,377,29,140,648,768,162,48,83,1,10292,43,252
10,Pachuca,31,34.0,13918,12083,1782,407,33,232,652,816,188,65,66,1,10454,53,277
11,Puebla,31,34.0,13012,11206,1758,424,20,165,596,746,161,80,52,0,9701,48,241
12,Querétaro,41,34.0,12617,10856,1718,440,14,127,663,748,159,57,66,2,9225,43,274
13,Santos,31,34.0,13142,11175,1924,488,26,178,638,838,213,85,93,1,9452,43,271
14,Tijuana,35,34.0,13895,12161,1673,402,31,130,543,720,146,45,84,0,10459,61,269
15,Toluca,35,34.0,15073,13240,1782,499,19,158,539,697,144,61,54,0,11749,51,272
16,UANL,29,34.0,16461,14815,1596,451,18,180,779,650,183,87,51,0,13353,50,243
17,UNAM,35,34.0,14215,12452,1719,400,33,225,593,758,161,55,89,3,11011,44,234
