,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,América,33,27.4,34,3060,90,100,34.0,374,81,220,146,20,194,1.79,45,27,18,0.53,46.8,28.5,18.3,0.54
1,Atlas,23,27.2,34,3060,90,100,34.0,374,84,243,125,17,212,1.65,42,25,17,0.5,39.4,36.7,2.6,0.08
2,Atlético,31,26.7,34,3060,90,100,34.0,374,83,236,133,19,194,1.26,40,45,-5,-0.15,47.6,45.7,1.9,0.06
3,Cruz Azul,38,28.6,34,3060,90,100,34.0,374,80,213,158,23,161,1.41,41,34,7,0.21,38.9,37.6,1.2,0.04
4,FC Juárez,41,28.3,34,3060,90,100,34.0,374,81,244,124,27,209,0.79,24,53,-29,-0.85,29.2,42.7,-13.5,-0.4
5,Guadalajara,35,25.9,34,3060,90,100,34.0,374,80,212,156,22,180,1.41,38,34,4,0.12,35.2,32.0,3.3,0.1
6,León,31,28.8,34,3060,90,100,34.0,374,82,228,140,20,198,1.47,37,36,1,0.03,50.4,42.2,8.2,0.24
7,Mazatlán,33,27.6,34,3060,90,100,34.0,366,82,207,159,19,181,1.21,38,48,-10,-0.29,31.5,52.4,-20.9,-0.61
8,Monterrey,31,27.5,34,3060,90,100,34.0,374,81,225,144,22,194,1.41,40,33,7,0.21,50.9,33.5,17.4,0.51
9,Necaxa,37,26.2,34,3060,90,100,34.0,374,80,214,159,23,180,1.26,37,43,-6,-0.18,41.4,41.8,-0.4,-0.01
10,Pachuca,31,27.7,34,3060,90,100,34.0,374,81,227,143,21,197,1.65,49,36,13,0.38,51.1,41.2,9.9,0.29
11,Puebla,31,27.6,34,3060,90,100,34.0,374,81,213,157,20,180,1.47,41,35,6,0.18,49.0,50.5,-1.6,-0.05
12,Querétaro,41,28.7,34,3060,90,100,34.0,374,81,212,156,20,183,0.94,29,40,-11,-0.32,39.1,46.5,-7.5,-0.22
13,Santos,31,25.5,34,3060,90,100,34.0,374,82,227,144,20,195,1.29,48,41,7,0.21,47.4,48.2,-0.8,-0.02
14,Tijuana,35,27.0,34,3060,90,100,34.0,374,82,224,147,21,190,0.94,30,53,-23,-0.68,41.7,51.1,-9.4,-0.28
15,Toluca,35,27.2,34,3060,90,100,34.0,374,81,230,140,23,187,1.26,43,58,-15,-0.44,41.7,54.4,-12.7,-0.37
16,UANL,29,30.2,34,3060,90,100,34.0,374,82,226,141,21,198,1.79,56,34,22,0.65,50.6,38.7,12.0,0.35
17,UNAM,35,27.3,34,3060,90,100,34.0,374,80,225,144,25,195,1.26,41,44,-3,-0.09,41.3,49.3,-8.0,-0.23
