,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog
0,América,33,51.0,34.0,18093,1588,5505,8520,4259,605,18087,285,520,54.8,561,312,11305,746
1,Atlas,23,51.4,34.0,17039,1531,4879,8073,4302,669,17033,226,471,48.0,560,334,9986,831
2,Atlético,31,44.3,34.0,15796,1958,5442,6973,3559,530,15786,195,399,48.9,540,253,8537,754
3,Cruz Azul,38,49.1,34.0,17859,1863,5709,8384,3933,544,17850,192,398,48.2,478,226,10893,815
4,FC Juárez,41,47.3,34.0,17682,1951,6255,8298,3352,452,17676,279,537,52.0,582,286,10781,747
5,Guadalajara,35,54.7,34.0,19587,1884,6329,9299,4195,496,19582,329,605,54.4,656,340,12479,872
6,León,31,56.6,34.0,19589,1945,6215,9315,4275,687,19581,274,506,54.2,571,312,12996,1062
7,Mazatlán,33,44.5,34.0,16048,2066,5974,7204,3034,455,16043,203,382,53.1,585,220,8879,614
8,Monterrey,31,50.8,34.0,17621,1620,5324,7939,4575,723,17615,244,479,50.9,570,294,10830,1026
9,Necaxa,37,50.3,34.0,17554,1807,5348,8248,4202,556,17549,290,569,51.0,657,289,10116,895
10,Pachuca,31,50.3,34.0,17707,1638,5171,8446,4337,623,17703,368,650,56.6,623,314,10139,933
11,Puebla,31,50.0,34.0,16800,1917,5598,7657,3749,618,16790,300,593,50.6,579,276,9539,686
12,Querétaro,41,47.6,34.0,15976,1747,5140,7618,3417,517,15971,198,419,47.3,540,272,9045,698
13,Santos,31,49.1,34.0,16859,1570,4756,7800,4514,641,16850,300,614,48.9,643,350,9268,857
14,Tijuana,35,47.7,34.0,17819,1881,5651,8350,4078,565,17812,356,684,52.0,625,316,10289,922
15,Toluca,35,52.0,34.0,18462,2032,6102,8791,3742,504,18454,211,429,49.2,488,230,11599,802
16,UANL,29,54.9,34.0,19951,1826,5856,9595,4752,683,19945,369,665,55.5,548,283,13148,1004
17,UNAM,35,48.5,34.0,17890,1809,5435,9085,3550,575,17887,262,487,53.8,575,298,10780,907
