,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Angers,30,38.0,619,370,301,253,65,284,659,43.1,375,384,99,285,423,1042,631,9
1,Bordeaux,39,38.0,642,377,320,244,78,323,741,43.6,418,357,104,253,454,1096,688,19
2,Brest,25,38.0,682,400,342,249,91,310,657,47.2,347,367,108,259,469,1151,707,4
3,Clermont Foot,28,38.0,622,361,285,262,75,291,665,43.8,374,372,99,273,386,1008,527,9
4,Lens,28,38.0,591,359,273,243,75,268,604,44.4,336,360,99,261,455,1046,616,7
5,Lille,26,38.0,653,359,310,274,69,305,619,49.3,314,351,111,240,377,1030,672,6
6,Lorient,29,38.0,696,412,337,292,67,383,811,47.2,428,405,115,290,412,1108,776,9
7,Lyon,30,38.0,632,367,264,270,98,279,614,45.4,335,385,91,294,396,1028,621,18
8,Marseille,27,38.0,556,319,252,238,66,232,501,46.3,269,263,65,198,327,883,437,10
9,Metz,36,38.0,711,442,395,275,41,300,649,46.2,349,452,139,313,507,1218,782,11
10,Monaco,27,38.0,745,435,292,368,85,324,700,46.3,376,378,103,275,424,1169,487,10
11,Montpellier,26,38.0,625,380,340,210,75,309,723,42.7,414,363,134,229,356,981,675,13
12,Nantes,26,38.0,685,405,331,262,92,353,773,45.7,420,419,136,283,415,1100,680,9
13,Nice,27,38.0,610,369,291,253,66,314,590,53.2,276,392,119,273,441,1051,595,7
14,Paris S-G,36,38.0,608,360,229,277,102,291,600,48.5,309,329,106,223,303,911,437,14
15,Reims,35,38.0,615,365,328,221,66,286,629,45.5,343,460,154,306,493,1108,753,7
16,Rennes,28,38.0,546,318,234,215,97,261,550,47.5,289,347,92,255,314,860,646,12
17,Saint-Étienne,39,38.0,695,397,340,266,89,295,638,46.2,343,398,93,305,451,1146,564,10
18,Strasbourg,26,38.0,660,392,302,257,101,293,626,46.8,333,381,94,287,433,1093,563,6
19,Troyes,35,38.0,636,351,351,221,64,285,625,45.6,340,375,107,268,430,1066,656,8
