,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,Angers,30,38.0,666,17.53,434,74,56,36,45,21,69,1.82,37,5,6,9,10,2
1,Bordeaux,39,38.0,770,20.26,530,73,51,48,32,36,92,2.42,61,12,8,5,3,3
2,Brest,25,38.0,705,18.55,486,75,40,43,36,25,77,2.03,49,7,7,7,6,1
3,Clermont Foot,28,38.0,773,20.34,545,76,52,48,30,22,65,1.71,43,7,5,6,3,1
4,Lens,28,38.0,893,23.5,670,59,52,55,29,28,105,2.76,75,4,6,11,6,3
5,Lille,26,38.0,813,21.39,584,73,51,45,33,27,84,2.21,50,7,7,9,7,4
6,Lorient,29,38.0,755,19.87,522,61,43,50,48,31,60,1.58,39,2,8,4,7,0
7,Lyon,30,38.0,985,25.92,734,63,60,61,40,27,111,2.92,83,3,5,12,7,1
8,Marseille,27,38.0,901,23.71,652,78,41,53,54,23,110,2.89,73,7,5,8,12,5
9,Metz,36,38.0,640,16.84,442,61,32,34,41,30,55,1.45,37,3,3,5,5,2
10,Monaco,27,38.0,784,20.63,565,72,38,40,41,28,108,2.84,87,2,4,5,8,2
11,Montpellier,26,38.0,741,19.5,510,58,40,41,61,31,88,2.32,59,7,6,6,6,4
12,Nantes,26,38.0,718,18.89,490,81,42,48,38,19,89,2.34,62,6,6,6,7,2
13,Nice,27,38.0,791,20.82,570,69,49,41,39,23,92,2.42,69,4,4,6,9,0
14,Paris S-G,36,38.0,1004,26.42,746,55,82,54,44,23,154,4.05,115,5,18,9,6,1
15,Reims,35,38.0,690,18.16,483,59,52,32,39,25,70,1.84,45,7,4,6,8,0
16,Rennes,28,38.0,969,25.5,706,101,32,74,36,20,153,4.03,120,7,6,10,6,4
17,Saint-Étienne,39,38.0,766,20.16,512,69,58,42,48,37,66,1.74,36,9,5,7,5,4
18,Strasbourg,26,38.0,814,21.42,581,82,30,55,43,23,98,2.58,70,5,5,10,8,0
19,Troyes,35,38.0,673,17.71,467,59,43,43,38,23,54,1.42,33,4,2,9,6,0
