,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
0,Angers,30,38.0,15307,18797,81.4,281097,99555,6193,7006,88.4,6960,7916,87.9,1724,2880,59.9,25,30.5,25.6,-5.5,277,1029,186,56,1003
1,Bordeaux,39,38.0,13552,17385,78.0,253745,96077,5738,6654,86.2,5627,6682,84.2,1815,3091,58.7,39,37.0,29.0,2.0,326,952,221,59,990
2,Brest,25,38.0,12685,16507,76.8,242126,96762,5324,6290,84.6,5127,6166,83.1,1852,3141,59.0,32,34.3,28.4,-2.3,305,1087,252,88,968
3,Clermont Foot,28,38.0,15711,19558,80.3,268710,97038,7637,8643,88.4,5958,6972,85.5,1599,2806,57.0,25,35.6,33.1,-10.6,325,1066,263,102,1034
4,Lens,28,38.0,16573,20178,82.1,283822,99078,7615,8585,88.7,6898,7930,87.0,1477,2498,59.1,39,40.9,32.7,-1.9,383,1263,281,70,1254
5,Lille,26,38.0,15086,18926,79.7,265491,93761,6923,7842,88.3,5970,6972,85.6,1658,2862,57.9,29,38.3,35.3,-9.3,344,1124,266,61,1084
6,Lorient,29,38.0,13155,16816,78.2,241459,86986,5595,6469,86.5,5493,6468,84.9,1630,2876,56.7,20,34.0,27.5,-14.0,321,998,218,76,942
7,Lyon,30,38.0,19787,23388,84.6,340269,116727,8987,9961,90.2,8403,9364,89.7,1780,2835,62.8,45,56.3,50.8,-11.3,422,1486,346,66,1326
8,Marseille,27,38.0,21253,24524,86.7,361990,109445,9917,10744,92.3,8776,9635,91.1,1878,2900,64.8,40,46.4,41.7,-6.4,384,1547,336,59,1234
9,Metz,36,38.0,12069,15688,76.9,222449,84751,5120,6014,85.1,5157,6079,84.8,1430,2715,52.7,24,24.8,21.1,-0.8,275,818,126,49,756
10,Monaco,27,38.0,16299,20558,79.3,292995,105270,6964,8022,86.8,7226,8418,85.8,1702,3045,55.9,45,48.9,48.8,-3.9,348,1387,392,82,1428
11,Montpellier,26,38.0,13951,17804,78.4,246693,95728,6234,7133,87.4,5560,6581,84.5,1585,2917,54.3,31,30.9,28.5,0.1,290,957,239,70,1011
12,Nantes,26,38.0,12579,16482,76.3,232023,88008,5385,6257,86.1,5235,6317,82.9,1572,2976,52.8,37,38.1,30.4,-1.1,327,1086,204,76,930
13,Nice,27,38.0,16159,19832,81.5,281747,98174,7357,8329,88.3,6857,7834,87.5,1515,2645,57.3,35,43.0,39.8,-8.0,334,1151,261,102,1045
14,Paris S-G,36,38.0,23829,26658,89.4,379809,120628,12092,12972,93.2,9124,9854,92.6,1662,2239,74.2,65,63.6,56.0,1.4,433,1844,403,51,1440
15,Reims,35,38.0,12097,15811,76.5,222517,84225,5187,6061,85.6,5070,6048,83.8,1511,2767,54.6,27,30.8,24.3,-3.8,307,878,233,76,913
16,Rennes,28,38.0,17606,21263,82.8,330955,109119,7053,8030,87.8,7902,8886,88.9,2224,3332,66.7,61,53.8,45.8,7.2,426,1287,367,89,1229
17,Saint-Étienne,39,38.0,13880,17876,77.6,248221,88276,6137,7086,86.6,5607,6671,84.1,1593,2972,53.6,25,31.0,26.2,-6.0,313,1058,200,62,998
18,Strasbourg,26,38.0,14575,18653,78.1,269512,97470,6111,7060,86.6,6190,7296,84.8,1856,3259,56.9,40,45.2,41.9,-5.2,348,1183,334,108,1173
19,Troyes,35,38.0,13093,16828,77.8,232773,90544,6026,6920,87.1,5157,6131,84.1,1466,2726,53.8,23,30.9,27.0,-7.9,285,937,216,85,912
