,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Angers,30,38.0,18797,16901,1850,548,30,147,572,717,186,60,81,2,15307,46,292
1,Bordeaux,39,38.0,17385,15441,1886,464,52,176,611,815,150,80,47,1,13552,58,315
2,Brest,25,38.0,16507,14536,1924,484,20,156,710,846,171,95,56,0,12685,47,288
3,Clermont Foot,28,38.0,19558,17597,1908,526,28,156,713,828,179,76,60,1,15711,53,332
4,Lens,28,38.0,20178,18428,1692,388,51,172,699,718,213,70,106,0,16573,58,295
5,Lille,26,38.0,18926,16958,1879,471,47,186,621,828,201,79,90,0,15086,89,354
6,Lorient,29,38.0,16816,14948,1813,441,40,163,588,803,162,63,55,2,13155,55,289
7,Lyon,30,38.0,23388,21522,1804,491,95,139,571,782,188,85,60,2,19787,62,313
8,Marseille,27,38.0,24524,22709,1755,538,57,176,619,692,217,100,81,0,21253,60,306
9,Metz,36,38.0,15688,13854,1786,476,34,137,581,729,142,43,76,0,12069,48,299
10,Monaco,27,38.0,20558,18631,1833,448,77,150,705,805,220,99,78,0,16299,94,330
11,Montpellier,26,38.0,17804,15757,1994,484,36,155,697,868,178,62,74,2,13951,53,313
12,Nantes,26,38.0,16482,14569,1858,422,20,140,731,864,198,75,97,1,12579,55,280
13,Nice,27,38.0,19832,18037,1742,440,37,101,742,766,196,94,75,1,16159,53,305
14,Paris S-G,36,38.0,26658,24939,1626,487,94,170,459,623,201,80,34,2,23829,93,278
15,Reims,35,38.0,15811,13914,1821,498,14,181,629,780,166,63,77,1,12097,76,315
16,Rennes,28,38.0,21263,19478,1726,436,41,199,698,766,222,61,132,0,17606,59,308
17,Saint-Étienne,39,38.0,17876,15857,1968,520,39,214,697,868,178,82,65,3,13880,51,329
18,Strasbourg,26,38.0,18653,16798,1794,449,47,212,797,807,180,37,121,2,14575,61,296
19,Troyes,35,38.0,16828,14916,1859,534,26,163,708,750,161,113,35,0,13093,53,313
