,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,Angers,30,27.4,38,3420,90,100,38.0,418,84,260,154,16,183,1.08,44,55,-11,-0.29,49.6,55.3,-5.7,-0.15
1,Bordeaux,39,25.7,38,3420,90,100,38.0,418,81,233,182,19,160,0.82,52,91,-39,-1.03,49.4,72.8,-23.4,-0.61
2,Brest,25,25.4,38,3420,90,100,38.0,418,83,270,146,19,185,1.26,49,57,-8,-0.21,48.9,64.3,-15.4,-0.41
3,Clermont Foot,28,26.9,38,3420,90,100,38.0,418,82,253,159,19,183,0.95,38,69,-31,-0.82,49.3,61.3,-12.0,-0.32
4,Lens,28,26.1,38,3420,90,100,38.0,418,83,246,170,16,168,1.63,62,48,14,0.37,57.7,49.0,8.6,0.23
5,Lille,26,26.1,38,3420,90,100,38.0,418,83,269,145,18,181,1.45,48,48,0,0.0,56.2,45.8,10.4,0.27
6,Lorient,29,26.2,38,3420,90,100,38.0,418,83,263,153,17,190,0.95,35,63,-28,-0.74,47.9,57.4,-9.5,-0.25
7,Lyon,30,25.6,38,3420,90,100,38.0,418,82,275,139,22,184,1.63,66,51,15,0.39,76.3,59.0,17.2,0.45
8,Marseille,27,25.0,38,3420,90,100,38.0,418,84,273,144,17,196,1.87,63,38,25,0.66,63.3,41.2,22.0,0.58
9,Metz,36,25.9,38,3420,90,100,38.0,418,81,269,146,25,191,0.82,35,69,-34,-0.89,34.1,69.6,-35.5,-0.93
10,Monaco,27,24.4,38,3420,90,100,38.0,418,81,246,168,21,173,1.82,65,40,25,0.66,66.1,45.0,21.0,0.55
11,Montpellier,26,25.8,38,3420,90,100,38.0,418,83,248,162,16,168,1.13,49,61,-12,-0.32,45.7,64.1,-18.4,-0.48
12,Nantes,26,26.1,38,3420,90,100,38.0,418,83,256,159,17,170,1.45,55,48,7,0.18,50.9,56.5,-5.6,-0.15
13,Nice,27,25.0,38,3420,90,100,38.0,418,81,245,169,20,171,1.76,52,36,16,0.42,60.7,48.6,12.2,0.32
14,Paris S-G,36,27.8,38,3420,90,100,38.0,418,85,276,140,15,201,2.26,90,36,54,1.42,84.5,43.2,41.3,1.09
15,Reims,35,24.0,38,3420,90,100,38.0,418,79,247,168,27,174,1.21,43,44,-1,-0.03,43.9,54.4,-10.5,-0.28
16,Rennes,28,25.3,38,3420,90,100,38.0,418,84,249,168,15,173,1.74,82,40,42,1.11,69.9,47.4,22.4,0.59
17,Saint-Étienne,39,25.1,38,3420,90,100,38.0,418,79,229,185,23,155,0.84,42,77,-35,-0.92,44.5,63.7,-19.2,-0.5
18,Strasbourg,26,27.0,38,3420,90,100,38.0,418,84,270,145,18,180,1.66,60,43,17,0.45,62.5,50.7,11.8,0.31
19,Troyes,35,27.1,38,3420,90,100,38.0,418,82,253,164,20,170,1.0,37,53,-16,-0.42,44.0,55.9,-11.9,-0.31
