,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog
0,Angers,30,48.4,38.0,22975,2195,7992,10842,4405,579,22966,401,839,47.8,727,373,15120,980
1,Bordeaux,39,47.4,38.0,21474,2363,7603,9984,4135,639,21470,355,657,54.0,676,313,13333,957
2,Brest,25,43.9,38.0,20601,2285,6760,9210,4878,692,20593,315,640,49.2,665,312,12480,937
3,Clermont Foot,28,50.0,38.0,23313,2132,8055,10720,4785,662,23311,327,599,54.6,618,410,15522,1012
4,Lens,28,50.7,38.0,24038,2059,6641,12349,5313,740,24033,345,594,58.1,619,336,16368,1229
5,Lille,26,50.8,38.0,22934,2116,6983,11025,5192,777,22929,313,620,50.5,655,347,14886,1051
6,Lorient,29,44.4,38.0,20879,2053,6864,9933,4300,591,20876,309,599,51.6,645,332,12974,916
7,Lyon,30,58.4,38.0,27533,2273,7847,13746,6197,897,27525,488,813,60.0,704,408,19579,1292
8,Marseille,27,61.7,38.0,27844,1931,7507,14145,6416,854,27834,307,573,53.6,569,328,20987,1211
9,Metz,36,42.9,38.0,20155,2206,7335,9553,3540,408,20154,334,609,54.8,710,364,11882,734
10,Monaco,27,54.1,38.0,24480,2000,6589,12080,6054,931,24471,366,653,56.0,654,321,16107,1400
11,Montpellier,26,48.2,38.0,21789,2661,7965,9601,4442,565,21785,316,590,53.6,648,340,13754,992
12,Nantes,26,43.9,38.0,20633,1992,6244,9729,4878,695,20628,333,676,49.3,586,352,12383,907
13,Nice,27,51.5,38.0,23762,2042,6814,12190,5018,733,23752,387,699,55.4,635,349,15929,1024
14,Paris S-G,36,63.0,38.0,30302,2212,7242,15615,7682,1003,30294,489,871,56.1,554,348,23579,1403
15,Reims,35,42.2,38.0,20047,2498,7650,8494,4172,581,20042,329,594,55.4,701,324,11907,891
16,Rennes,28,55.9,38.0,25057,2047,7033,12386,5860,886,25053,287,530,54.2,587,269,17423,1209
17,Saint-Étienne,39,48.5,38.0,22143,2057,6996,10780,4662,599,22138,397,738,53.8,725,396,13687,970
18,Strasbourg,26,49.5,38.0,22548,2021,6431,10857,5487,822,22540,272,498,54.6,589,300,14393,1152
19,Troyes,35,44.4,38.0,20705,2472,7808,8969,4173,522,20698,318,586,54.3,588,322,12910,891
