,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Angers,30,38.0,41,384,123,32.0,10.11,3.24,0.08,0.26,18.2,18,9,9,49.6,42.6,0.12,-8.6,-10.6
1,Bordeaux,39,38.0,50,446,145,32.5,11.74,3.82,0.11,0.33,19.2,16,2,4,49.4,47.0,0.11,0.6,1.0
2,Brest,25,38.0,48,394,138,35.0,10.37,3.63,0.1,0.3,17.4,12,7,8,48.9,42.9,0.11,-0.9,-1.9
3,Clermont Foot,28,38.0,36,435,134,30.8,11.45,3.53,0.08,0.25,17.7,10,2,3,49.3,46.9,0.11,-13.3,-12.9
4,Lens,28,38.0,60,511,183,35.8,13.45,4.82,0.11,0.3,18.6,14,5,5,57.7,53.9,0.11,2.3,1.1
5,Lille,26,38.0,45,461,150,32.5,12.13,3.95,0.09,0.27,17.4,15,4,5,56.2,52.4,0.12,-11.2,-11.4
6,Lorient,29,38.0,35,442,146,33.0,11.63,3.84,0.07,0.22,19.3,32,3,3,47.9,45.6,0.11,-12.9,-13.6
7,Lyon,30,38.0,64,546,192,35.2,14.37,5.05,0.1,0.29,17.1,18,8,8,76.3,70.1,0.13,-12.3,-14.1
8,Marseille,27,38.0,61,489,157,32.1,12.87,4.13,0.1,0.32,17.8,28,10,10,63.3,56.7,0.12,-2.3,-5.7
9,Metz,36,38.0,33,370,112,30.3,9.74,2.95,0.09,0.29,20.5,16,1,1,34.1,33.3,0.09,-1.1,-1.3
10,Monaco,27,38.0,62,445,153,34.4,11.71,4.03,0.12,0.35,17.3,17,9,9,66.1,59.0,0.13,-4.1,-6.0
11,Montpellier,26,38.0,48,433,151,34.9,11.39,3.97,0.1,0.3,19.6,38,3,4,45.7,42.6,0.1,2.3,2.4
12,Nantes,26,38.0,53,420,145,34.5,11.05,3.82,0.11,0.33,17.2,13,5,5,50.9,47.0,0.11,2.1,1.0
13,Nice,27,38.0,52,442,144,32.6,11.63,3.79,0.1,0.31,16.9,12,8,10,60.7,53.8,0.12,-8.7,-9.8
14,Paris S-G,36,38.0,88,555,202,36.4,14.61,5.32,0.15,0.4,17.3,29,7,8,84.5,79.1,0.15,3.5,1.9
15,Reims,35,38.0,42,389,137,35.2,10.24,3.61,0.1,0.28,18.5,5,4,6,43.9,39.2,0.1,-1.9,-1.2
16,Rennes,28,38.0,81,548,194,35.4,14.42,5.11,0.14,0.4,16.1,14,4,4,69.9,67.3,0.13,11.1,9.7
17,Saint-Étienne,39,38.0,41,434,141,32.5,11.42,3.71,0.08,0.26,20.0,23,5,5,44.5,40.7,0.1,-3.5,-4.7
18,Strasbourg,26,38.0,56,470,150,31.9,12.37,3.95,0.11,0.33,16.8,10,6,8,62.5,56.8,0.12,-6.5,-6.8
19,Troyes,35,38.0,35,379,120,31.7,9.97,3.16,0.08,0.24,18.7,9,6,7,44.0,39.0,0.11,-9.0,-10.0
