,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,Atlanta Utd,32,34.0,962,28.29,718,82,53,51,37,21,86,2.53,59,9,9,5,3,1
1,Austin,26,34.0,721,21.21,534,56,29,46,37,19,107,3.15,80,4,3,9,6,5
2,CF Montréal,25,34.0,753,22.15,535,79,46,43,31,19,108,3.18,75,6,15,6,4,2
3,Charlotte,32,34.0,664,19.53,479,71,21,48,32,13,74,2.18,54,3,2,9,5,1
4,Chicago Fire,28,34.0,751,22.09,551,51,35,48,37,29,70,2.06,58,2,1,4,3,2
5,Colorado Rapids,28,34.0,801,23.56,547,88,50,50,44,22,79,2.32,55,5,3,8,7,1
6,Columbus Crew,26,34.0,781,22.97,572,55,52,35,44,23,81,2.38,59,6,4,6,5,1
7,D.C. United,38,34.0,614,18.06,420,72,19,45,29,29,65,1.91,43,8,2,3,5,4
8,FC Cincinnati,28,34.0,767,22.56,551,71,40,41,40,24,107,3.15,76,4,8,10,5,4
9,FC Dallas,24,34.0,693,20.38,512,58,32,40,30,21,85,2.5,60,4,5,6,6,4
10,Houston Dynamo,27,34.0,682,20.06,516,42,27,39,28,30,74,2.18,52,2,5,9,2,4
11,Inter Miami,30,34.0,692,20.35,519,50,39,20,32,32,82,2.41,60,4,6,3,6,3
12,LA Galaxy,25,34.0,843,24.79,638,58,35,47,42,23,102,3.0,78,4,6,6,6,2
13,Los Angeles FC,30,34.0,895,26.32,630,83,51,67,39,25,104,3.06,75,4,7,12,4,2
14,Minnesota Utd,26,34.0,717,21.09,512,60,40,45,41,19,82,2.41,58,5,6,6,3,4
15,Nashville,23,34.0,772,22.71,534,77,32,66,44,19,85,2.5,51,8,3,15,7,1
16,New England,32,34.0,797,23.44,605,63,33,41,33,22,89,2.62,68,3,4,5,7,2
17,NY Red Bulls,28,34.0,737,21.68,507,81,27,37,55,30,78,2.29,51,6,4,5,10,2
18,NYCFC,25,34.0,837,24.62,608,75,44,59,28,23,92,2.71,60,6,7,10,5,4
19,Orlando City,27,34.0,731,21.5,541,72,25,41,29,23,71,2.09,46,9,3,8,4,1
20,Philadelphia,22,34.0,769,22.62,525,78,30,57,57,22,117,3.44,79,6,8,12,10,2
21,Portland Timbers,27,34.0,768,22.59,553,57,34,49,53,22,95,2.79,58,9,5,8,14,1
22,Real Salt Lake,32,34.0,765,22.5,553,70,48,42,33,19,78,2.29,54,9,5,5,3,2
23,San Jose,27,34.0,786,23.12,561,71,42,50,33,29,84,2.47,56,5,2,11,8,2
24,Seattle,26,34.0,750,22.06,548,64,29,47,38,24,81,2.38,57,4,2,7,8,3
25,Sporting KC,25,34.0,721,21.21,529,53,43,36,39,21,64,1.88,48,2,3,6,5,0
26,Toronto FC,33,34.0,654,19.24,482,44,42,38,33,15,82,2.41,52,6,9,6,8,1
27,Vancouver,33,34.0,679,19.97,484,62,31,49,33,20,66,1.94,49,3,3,3,6,2
