,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
0,Atlanta Utd,32,34.0,15046,18233,82.5,265649,92562,6669,7365,90.5,6321,7236,87.4,1598,2587,61.8,37,43.5,42.6,-6.5,422,1147,317,73,1084
1,Austin,26,34.0,13719,16929,81.0,257958,89054,5731,6394,89.6,6104,6985,87.4,1680,2924,57.5,47,36.2,39.7,10.8,302,1064,304,76,964
2,CF Montréal,25,34.0,14888,18017,82.6,264037,94943,6785,7520,90.2,6232,7150,87.2,1559,2498,62.4,47,39.9,36.1,7.1,328,1310,291,69,1163
3,Charlotte,32,34.0,13762,17202,80.0,253941,89592,5643,6322,89.3,6341,7253,87.4,1485,2784,53.3,31,30.1,31.4,0.9,284,974,246,73,891
4,Chicago Fire,28,34.0,11822,15344,77.0,214759,84709,5334,6144,86.8,4809,5781,83.2,1417,2587,54.8,29,32.7,33.0,-3.7,315,973,286,86,933
5,Colorado Rapids,28,34.0,11340,14493,78.2,224505,85484,4380,4995,87.7,5132,5974,85.9,1644,2857,57.5,29,36.4,34.9,-7.4,342,991,267,57,924
6,Columbus Crew,26,34.0,13516,16737,80.8,245970,88008,5858,6552,89.4,5863,6763,86.7,1512,2606,58.0,34,30.6,31.9,3.4,333,1084,293,59,996
7,D.C. United,38,34.0,10843,14472,74.9,207001,78513,4346,5141,84.5,4834,5815,83.1,1426,2752,51.8,25,26.1,28.4,-1.1,260,840,217,61,805
8,FC Cincinnati,28,34.0,10853,14315,75.8,196755,80445,4855,5672,85.6,4457,5384,82.8,1251,2444,51.2,47,42.8,40.8,4.2,337,979,275,68,951
9,FC Dallas,24,34.0,13450,16661,80.7,234531,81419,6222,6916,90.0,5665,6488,87.3,1276,2493,51.2,34,32.7,30.9,1.3,302,925,274,50,919
10,Houston Dynamo,27,34.0,13023,15982,81.5,246170,85814,5100,5713,89.3,6085,6843,88.9,1597,2719,58.7,30,30.6,29.9,-0.6,287,983,230,64,910
11,Inter Miami,30,34.0,12686,15680,80.9,226151,82026,5767,6419,89.8,5165,5969,86.5,1419,2491,57.0,31,30.5,29.9,0.5,297,884,243,51,868
12,LA Galaxy,25,34.0,16014,19110,83.8,277859,96018,7427,8215,90.4,6661,7506,88.7,1528,2472,61.8,42,40.4,44.2,1.6,364,1229,356,74,1211
13,Los Angeles FC,30,34.0,12882,16227,79.4,224786,88181,6091,6866,88.7,5170,6105,84.7,1292,2383,54.2,41,43.4,38.4,-2.4,377,1169,335,54,1239
14,Minnesota Utd,26,34.0,11442,14778,77.4,205446,84322,5141,5868,87.6,4625,5530,83.6,1331,2496,53.3,31,31.1,32.9,-0.1,310,1089,260,58,1064
15,Nashville,23,34.0,11732,15036,78.0,224482,85648,4557,5249,86.8,5446,6384,85.3,1489,2687,55.4,37,36.2,33.1,0.8,315,920,235,92,922
16,New England,32,34.0,14091,17419,80.9,259848,91161,5853,6565,89.2,6366,7345,86.7,1609,2684,59.9,36,33.8,36.7,2.2,349,1111,305,109,1025
17,NY Red Bulls,28,34.0,8238,12375,66.6,153321,67957,3509,4415,79.5,3548,4708,75.4,973,2462,39.5,29,26.4,26.2,2.6,301,858,249,51,928
18,NYCFC,25,34.0,15247,18609,81.9,264046,96238,7092,7885,89.9,6243,7171,87.1,1511,2558,59.1,39,41.3,42.3,-2.3,368,1081,323,66,1129
19,Orlando City,27,34.0,12983,16009,81.1,230276,84319,5993,6690,89.6,5444,6375,85.4,1313,2261,58.1,34,29.9,32.3,4.1,323,1161,266,61,1015
20,Philadelphia,22,34.0,9706,13302,73.0,186004,80459,4032,4844,83.2,4116,5120,80.4,1353,2589,52.3,49,38.7,38.7,10.3,316,846,275,76,962
21,Portland Timbers,27,34.0,12122,15475,78.3,220050,82811,5392,6100,88.4,4939,5849,84.4,1441,2700,53.4,35,34.3,35.2,0.7,321,1053,276,55,1049
22,Real Salt Lake,32,34.0,11727,15142,77.4,226918,83732,4657,5315,87.6,5218,6074,85.9,1608,3031,53.1,33,33.7,32.2,-0.7,337,1013,253,92,911
23,San Jose,27,34.0,14658,17826,82.2,270670,91523,6244,6978,89.5,6494,7376,88.0,1689,2779,60.8,35,30.8,35.1,4.2,335,1115,256,57,1029
24,Seattle,26,34.0,14686,18041,81.4,259607,93190,6829,7573,90.2,5850,6785,86.2,1637,2768,59.1,27,33.1,32.8,-6.1,297,1116,258,89,1011
25,Sporting KC,25,34.0,13145,16297,80.7,245860,78950,5416,6113,88.6,5890,6721,87.6,1584,2738,57.9,21,26.1,26.9,-5.1,298,1065,202,66,784
26,Toronto FC,33,34.0,13884,17324,80.1,232800,87048,6770,7606,89.0,5465,6406,85.3,1221,2358,51.8,31,28.5,32.3,2.5,281,1086,267,27,1071
27,Vancouver,33,34.0,11163,14425,77.4,209370,80194,4695,5330,88.1,4963,5911,84.0,1337,2542,52.6,23,26.1,30.7,-3.1,275,987,272,84,956
