,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog
0,Atlanta Utd,32,57.1,34.0,21782,2168,6858,9891,5278,820,21779,384,676,56.8,539,328,14815,1058
1,Austin,26,55.2,34.0,19992,2228,6865,8504,4810,739,19988,246,479,51.4,463,255,13541,949
2,CF Montréal,25,54.9,34.0,21143,1690,5759,10576,5037,770,21136,341,626,54.5,527,299,14682,1141
3,Charlotte,32,53.4,34.0,20491,2255,6998,9268,4422,627,20486,241,515,46.8,510,316,13596,867
4,Chicago Fire,28,49.0,34.0,18874,1926,6034,8395,4639,732,18869,237,486,48.8,563,304,11665,917
5,Colorado Rapids,28,48.2,34.0,17722,2068,6225,7834,3847,749,17717,248,462,53.7,466,196,11166,895
6,Columbus Crew,26,52.5,34.0,20250,2052,6312,8854,5310,738,20248,323,677,47.7,531,277,13341,981
7,D.C. United,38,46.9,34.0,17911,1981,6091,8001,4016,648,17907,214,478,44.8,516,273,10657,780
8,FC Cincinnati,28,45.2,34.0,18137,1916,5609,8304,4421,669,18132,279,568,49.1,552,295,10708,933
9,FC Dallas,24,49.5,34.0,19906,2381,7330,8769,3987,667,19905,264,524,50.4,463,234,13290,905
10,Houston Dynamo,27,48.4,34.0,19426,2399,7181,8281,4151,564,19420,299,587,50.9,466,228,12871,885
11,Inter Miami,30,47.4,34.0,19132,2338,7039,8081,4232,591,19127,289,579,49.9,505,229,12512,851
12,LA Galaxy,25,56.1,34.0,22311,2028,6468,10204,5843,807,22297,287,594,48.3,471,265,15857,1187
13,Los Angeles FC,30,51.8,34.0,19843,1845,5919,8740,5412,859,19837,343,670,51.2,541,346,12695,1206
14,Minnesota Utd,26,45.8,34.0,18583,2059,5986,7986,4836,692,18580,360,704,51.1,602,304,11265,1041
15,Nashville,23,46.3,34.0,18261,2027,6360,8098,3970,736,18252,195,390,50.0,438,235,11567,894
16,New England,32,51.3,34.0,20717,2090,6659,9315,4953,710,20711,280,521,53.7,514,253,13905,1000
17,NY Red Bulls,28,42.9,34.0,16272,1478,4804,7251,4455,740,16262,240,549,43.7,538,271,8093,898
18,NYCFC,25,56.4,34.0,22163,2304,7413,9761,5201,830,22154,302,608,49.7,565,332,15033,1110
19,Orlando City,27,50.4,34.0,19399,1822,5963,8672,4975,665,19395,218,485,44.9,507,235,12823,991
20,Philadelphia,22,43.9,34.0,16983,2002,5712,7258,4247,749,16973,198,448,44.2,489,199,9555,939
21,Portland Timbers,27,48.2,34.0,19239,2222,6434,8235,4785,726,19228,307,593,51.8,540,269,11936,1026
22,Real Salt Lake,32,47.4,34.0,18565,1961,5944,8131,4675,694,18563,291,583,49.9,513,220,11567,891
23,San Jose,27,56.4,34.0,21264,2042,6615,9940,4955,638,21257,317,642,49.4,561,338,14473,1010
24,Seattle,26,52.9,34.0,21369,2213,6556,9846,5151,678,21362,258,511,50.5,464,282,14495,995
25,Sporting KC,25,50.0,34.0,19522,1899,6098,8786,4861,643,19517,280,580,48.3,537,254,12941,767
26,Toronto FC,33,51.0,34.0,21052,2288,6912,9160,5184,626,21045,370,751,49.3,595,341,13704,1053
27,Vancouver,33,41.9,34.0,17733,1963,5836,7894,4167,658,17728,231,443,52.1,467,206,11010,935
