,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Atlanta Utd,32,34.0,48,537,180,33.5,15.79,5.29,0.09,0.26,18.1,18,1,3,55.8,54.1,0.1,-7.8,-7.1
1,Austin,26,34.0,64,420,136,32.4,12.35,4.0,0.14,0.44,16.8,17,4,4,50.9,47.9,0.12,13.1,12.1
2,CF Montréal,25,34.0,61,418,148,35.4,12.29,4.35,0.13,0.38,16.7,10,5,7,55.3,50.0,0.12,5.7,6.0
3,Charlotte,32,34.0,42,380,141,37.1,11.18,4.15,0.1,0.27,17.8,14,4,4,41.8,38.8,0.1,0.2,-0.8
4,Chicago Fire,28,34.0,39,424,131,30.9,12.47,3.85,0.08,0.27,17.7,16,4,5,47.0,43.1,0.1,-8.0,-8.1
5,Colorado Rapids,28,34.0,46,443,140,31.6,13.03,4.12,0.09,0.29,17.1,13,5,5,50.8,47.0,0.11,-4.8,-6.0
6,Columbus Crew,26,34.0,46,445,141,31.7,13.09,4.15,0.1,0.32,18.8,27,1,2,40.6,39.0,0.09,5.4,6.0
7,D.C. United,38,34.0,36,353,107,30.3,10.38,3.15,0.1,0.32,17.5,8,2,4,36.9,33.7,0.1,-0.9,0.3
8,FC Cincinnati,28,34.0,60,433,162,37.4,12.74,4.76,0.13,0.35,16.9,13,4,5,55.7,51.8,0.12,4.3,4.2
9,FC Dallas,24,34.0,46,401,134,33.4,11.79,3.94,0.11,0.34,17.8,13,1,1,42.4,41.7,0.11,3.6,3.3
10,Houston Dynamo,27,34.0,43,384,128,33.3,11.29,3.76,0.1,0.3,18.4,12,5,6,44.3,39.8,0.11,-1.3,-1.8
11,Inter Miami,30,34.0,46,374,139,37.2,11.0,4.09,0.11,0.29,18.5,15,5,5,42.0,38.1,0.1,4.0,2.9
12,LA Galaxy,25,34.0,57,461,159,34.5,13.56,4.68,0.1,0.3,18.3,24,9,14,59.6,49.1,0.11,-2.6,-1.1
13,Los Angeles FC,30,34.0,65,525,189,36.0,15.44,5.56,0.11,0.32,17.4,21,5,7,62.2,56.7,0.11,2.8,3.3
14,Minnesota Utd,26,34.0,46,417,134,32.1,12.26,3.94,0.1,0.32,18.2,23,3,4,45.6,42.3,0.1,0.4,0.7
15,Nashville,23,34.0,52,437,147,33.6,12.85,4.32,0.1,0.31,16.7,16,7,9,52.5,45.7,0.11,-0.5,-0.7
16,New England,32,34.0,47,431,145,33.6,12.68,4.26,0.1,0.28,17.3,11,6,6,44.7,40.3,0.1,2.3,0.7
17,NY Red Bulls,28,34.0,48,441,142,32.2,12.97,4.18,0.09,0.27,19.0,21,9,10,45.5,37.7,0.09,2.5,1.3
18,NYCFC,25,34.0,56,473,162,34.2,13.91,4.76,0.1,0.3,17.2,12,7,9,58.5,52.8,0.12,-2.5,-3.8
19,Orlando City,27,34.0,42,404,120,29.7,11.88,3.53,0.1,0.33,18.3,10,3,4,40.1,37.1,0.09,1.9,1.9
20,Philadelphia,22,34.0,70,440,168,38.2,12.94,4.94,0.14,0.36,17.2,20,9,10,59.3,51.6,0.12,10.7,9.4
21,Portland Timbers,27,34.0,52,429,132,30.8,12.62,3.88,0.1,0.32,18.6,18,10,11,50.3,41.6,0.1,1.7,0.4
22,Real Salt Lake,32,34.0,43,434,155,35.7,12.76,4.56,0.1,0.27,17.3,17,1,2,45.1,43.6,0.1,-2.1,-1.6
23,San Jose,27,34.0,52,448,142,31.7,13.18,4.18,0.1,0.32,19.2,12,7,7,44.9,39.5,0.09,7.1,5.5
24,Seattle,26,34.0,44,413,123,29.8,12.15,3.62,0.09,0.31,17.6,14,6,7,47.8,42.5,0.11,-3.8,-4.5
25,Sporting KC,25,34.0,40,410,140,34.1,12.06,4.12,0.09,0.26,19.1,23,3,5,38.8,34.9,0.09,1.2,2.1
26,Toronto FC,33,34.0,48,364,133,36.5,10.71,3.91,0.12,0.32,18.0,13,6,8,42.3,36.0,0.1,5.7,6.0
27,Vancouver,33,34.0,40,382,119,31.2,11.24,3.5,0.09,0.3,17.7,9,4,5,38.3,34.3,0.09,1.7,1.7
