,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,Arsenal,27,38.0,1022,26.89,772,66,55,66,39,24,97,2.55,67,8,3,13,4,2
1,Aston Villa,31,38.0,831,21.87,596,84,48,41,48,14,92,2.42,62,9,9,7,3,2
2,Brentford,29,38.0,744,19.58,484,95,36,61,43,25,78,2.05,45,11,5,8,9,0
3,Brighton,26,38.0,874,23.0,621,83,46,54,39,31,73,1.92,49,8,3,6,4,3
4,Burnley,23,38.0,682,17.95,449,81,28,49,50,25,59,1.55,38,9,5,3,4,0
5,Chelsea,26,38.0,1065,28.03,805,62,47,74,49,28,132,3.47,94,9,8,10,9,2
6,Crystal Palace,24,38.0,712,18.74,492,62,44,46,43,25,78,2.05,51,2,7,8,9,1
7,Everton,33,38.0,737,19.39,524,67,43,42,45,16,67,1.76,45,4,4,6,8,0
8,Leeds United,29,38.0,841,22.13,580,70,51,60,42,38,66,1.74,35,2,10,10,5,4
9,Leicester City,28,38.0,749,19.71,557,41,47,40,33,31,107,2.82,80,3,4,8,5,7
10,Liverpool,27,38.0,1239,32.61,894,105,62,103,50,25,162,4.26,119,9,10,19,5,0
11,Manchester City,26,38.0,1286,33.84,987,78,69,88,42,22,158,4.16,112,10,6,19,8,3
12,Manchester Utd,29,38.0,919,24.18,702,65,57,37,39,19,106,2.79,77,6,6,7,5,5
13,Newcastle Utd,29,38.0,761,20.03,496,80,61,57,42,25,71,1.87,46,4,5,9,6,1
14,Norwich City,28,38.0,636,16.74,424,67,39,33,50,23,39,1.03,27,2,1,1,3,5
15,Southampton,25,38.0,823,21.66,581,68,43,51,49,31,71,1.87,43,5,6,4,9,4
16,Tottenham,25,38.0,880,23.16,666,51,46,59,36,22,118,3.11,95,3,4,7,6,3
17,Watford,30,38.0,692,18.21,465,58,47,43,52,27,60,1.58,36,5,4,7,3,5
18,West Ham,25,38.0,776,20.42,565,67,46,50,27,21,102,2.68,72,10,5,9,5,1
19,Wolves,26,38.0,699,18.39,488,44,64,37,31,35,60,1.58,37,4,5,8,2,4
