,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
0,Arsenal,27,38.0,16176,19844,81.5,280868,91104,7325,8210,89.2,7187,8140,88.3,1326,2584,51.3,41,46.4,34.6,-5.4,437,1354,329,74,1080
1,Aston Villa,31,38.0,12748,16499,77.3,220975,85445,5916,6803,87.0,5184,6136,84.5,1239,2571,48.2,42,37.9,30.0,4.1,356,1019,293,70,936
2,Brentford,29,38.0,11676,16272,71.8,211867,85970,5201,6312,82.4,4797,6120,78.4,1357,2852,47.6,33,36.6,33.8,-3.6,311,942,262,81,896
3,Brighton,26,38.0,16410,20588,79.7,288851,95380,7195,8172,88.0,7129,8207,86.9,1580,2954,53.5,30,37.3,31.5,-7.3,356,1187,342,72,1064
4,Burnley,23,38.0,9453,14107,67.0,178781,80200,4296,5327,80.6,3306,4472,73.9,1457,3216,45.3,26,34.1,28.0,-8.1,286,877,240,84,729
5,Chelsea,26,38.0,21190,24888,85.1,342325,113096,10628,11617,91.5,8318,9322,89.2,1524,2514,60.6,52,51.5,42.6,0.5,439,1614,437,66,1344
6,Crystal Palace,24,38.0,14983,19081,78.5,265538,92511,6553,7495,87.4,6521,7610,85.7,1467,2871,51.1,31,36.7,30.2,-5.7,305,990,270,75,912
7,Everton,33,38.0,10365,14557,71.2,184800,76152,4888,5859,83.4,3844,4901,78.4,1215,2704,44.9,29,33.5,25.1,-4.5,323,897,255,77,802
8,Leeds United,29,38.0,13988,18288,76.5,242663,89155,6271,7285,86.1,5921,7050,84.0,1325,2754,48.1,26,35.8,25.1,-9.8,347,995,272,53,1105
9,Leicester City,28,38.0,16129,20137,80.1,269547,94214,7751,8789,88.2,6573,7579,86.7,1329,2581,51.5,46,37.5,26.9,8.5,312,1025,254,57,1007
10,Liverpool,27,38.0,21163,25552,82.8,370621,127110,9420,10506,89.7,9245,10569,87.5,2000,3211,62.3,71,67.9,56.2,3.1,527,1878,511,92,1666
11,Manchester City,26,38.0,24406,27902,87.5,412597,117975,11713,12605,92.9,10158,11162,91.0,1972,2895,68.1,63,70.5,57.1,-7.5,536,2110,535,74,1589
12,Manchester Utd,29,38.0,16690,20641,80.9,280259,93094,8162,9234,88.4,6398,7436,86.0,1548,2626,58.9,46,47.8,37.1,-1.8,407,1315,312,65,1120
13,Newcastle Utd,29,38.0,10201,14036,72.7,188373,77672,4545,5432,83.7,3917,4880,80.3,1343,2746,48.9,23,30.4,23.3,-7.4,308,791,193,55,641
14,Norwich City,28,38.0,12164,16070,75.7,217007,80084,5578,6484,86.0,4912,5949,82.6,1369,2757,49.7,16,26.3,23.7,-10.3,264,739,226,46,778
15,Southampton,25,38.0,12505,16940,73.8,211011,80109,6090,7173,84.9,4893,6093,80.3,1112,2591,42.9,26,35.8,28.7,-9.8,353,1016,249,58,969
16,Tottenham,25,38.0,17204,20696,83.1,283871,93472,8270,9143,90.5,6856,7812,87.8,1376,2371,58.0,50,50.3,41.3,-0.3,379,1172,338,81,1111
17,Watford,30,38.0,10423,14640,71.2,193941,80053,4505,5496,82.0,4270,5325,80.2,1330,2903,45.8,26,36.1,22.4,-10.1,298,834,213,70,783
18,West Ham,25,38.0,14325,18377,78.0,251139,89190,6626,7492,88.4,5789,6856,84.4,1479,2906,50.9,46,42.4,32.4,3.6,320,1106,271,87,941
19,Wolves,26,38.0,15253,19103,79.8,275608,92849,6533,7415,88.1,6610,7664,86.2,1718,3005,57.2,22,29.0,23.4,-7.0,294,1096,212,57,911
