,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,Arsenal,27,24.4,38,3420,90,100,38.0,418,85,304,110,17,232,1.82,61,48,13,0.34,67.3,51.2,16.0,0.42
1,Aston Villa,31,26.1,38,3420,90,100,38.0,418,85,304,113,20,228,1.18,52,54,-2,-0.05,47.9,54.4,-6.5,-0.17
2,Brentford,29,25.4,38,3420,90,100,38.0,418,84,304,114,22,223,1.21,48,56,-8,-0.21,51.1,54.0,-2.8,-0.07
3,Brighton,26,26.2,38,3420,90,100,38.0,418,84,308,111,22,231,1.34,42,44,-2,-0.05,53.0,49.8,3.2,0.08
4,Burnley,23,28.5,38,3420,90,100,38.0,418,86,321,96,19,244,0.92,34,53,-19,-0.5,43.8,63.8,-20.0,-0.53
5,Chelsea,26,27.4,38,3420,90,100,38.0,418,84,306,111,22,226,1.95,76,33,43,1.13,70.7,38.3,32.5,0.86
6,Crystal Palace,24,27.1,38,3420,90,100,38.0,418,85,309,108,18,229,1.26,50,46,4,0.11,53.8,46.0,7.8,0.21
7,Everton,33,26.7,38,3420,90,100,38.0,418,85,317,97,21,240,1.03,43,66,-23,-0.61,47.5,60.9,-13.4,-0.35
8,Leeds United,29,26.1,38,3420,90,100,38.0,418,82,312,106,29,234,1.0,42,79,-37,-0.97,50.4,73.2,-22.8,-0.6
9,Leicester City,28,26.5,38,3420,90,100,38.0,418,84,308,109,23,232,1.37,62,59,3,0.08,52.1,68.8,-16.7,-0.44
10,Liverpool,27,27.7,38,3420,90,100,38.0,418,85,306,111,19,231,2.42,94,26,68,1.79,95.1,37.3,57.8,1.52
11,Manchester City,26,27.0,38,3420,90,100,38.0,418,86,338,79,20,261,2.45,99,26,73,1.92,96.6,26.0,70.5,1.86
12,Manchester Utd,29,27.2,38,3420,90,100,38.0,418,85,303,114,20,227,1.53,57,57,0,0.0,61.7,59.6,2.1,0.05
13,Newcastle Utd,29,27.5,38,3420,90,100,38.0,418,85,309,108,18,233,1.29,44,62,-18,-0.47,44.4,62.4,-18.0,-0.47
14,Norwich City,28,26.2,38,3420,90,100,38.0,418,84,304,114,21,227,0.58,23,84,-61,-1.61,35.7,82.3,-46.6,-1.23
15,Southampton,25,25.7,38,3420,90,100,38.0,418,85,307,110,19,232,1.05,43,67,-24,-0.63,49.9,63.3,-13.4,-0.35
16,Tottenham,25,26.5,38,3420,90,100,38.0,418,85,311,106,18,236,1.87,69,40,29,0.76,66.5,45.3,21.2,0.56
17,Watford,30,28.4,38,3420,90,100,38.0,418,84,309,106,23,234,0.61,34,77,-43,-1.13,44.3,72.6,-28.2,-0.74
18,West Ham,25,28.2,38,3420,90,100,38.0,418,86,320,95,17,247,1.47,60,51,9,0.24,58.0,58.1,0.0,0.0
19,Wolves,26,27.3,38,3420,90,100,38.0,418,86,310,107,16,230,1.34,38,43,-5,-0.13,41.2,63.7,-22.5,-0.59
