,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog
0,Arsenal,27,52.8,38.0,23628,2229,7136,10298,6399,962,23621,319,590,54.1,557,336,15988,1058
1,Aston Villa,31,46.5,38.0,20474,2409,6869,8844,4983,816,20471,333,587,56.7,595,344,12576,916
2,Brentford,29,44.8,38.0,20340,2790,7848,8156,4515,807,20334,262,476,55.0,563,291,11492,869
3,Brighton,26,54.4,38.0,24673,2636,8027,10460,6401,861,24666,317,559,56.7,598,349,16194,1043
4,Burnley,23,40.2,38.0,18247,2240,5824,7996,4639,659,18245,258,479,53.9,539,291,9282,708
5,Chelsea,26,61.8,38.0,28767,2270,7900,13342,7764,1053,28758,364,624,58.3,591,383,20922,1314
6,Crystal Palace,24,51.1,38.0,23280,2754,8736,9923,4869,734,23272,383,688,55.7,671,471,14781,888
7,Everton,33,40.0,38.0,18937,2287,6399,7846,4932,725,18930,337,634,53.2,640,325,10202,784
8,Leeds United,29,52.3,38.0,22561,2619,8525,9437,4843,780,22556,339,655,51.8,676,298,13779,1077
9,Leicester City,28,52.0,38.0,24205,2769,8537,11012,4872,731,24203,297,547,54.3,601,368,15937,981
10,Liverpool,27,62.7,38.0,29388,2127,7182,14124,8305,1358,29380,343,635,54.0,590,366,20938,1625
11,Manchester City,26,67.9,38.0,31218,1844,6561,15244,9623,1492,31209,425,741,57.4,497,316,24112,1554
12,Manchester Utd,29,52.7,38.0,24490,2259,7378,11071,6260,875,24485,368,631,58.3,538,333,16510,1101
13,Newcastle Utd,29,40.4,38.0,18158,2313,6708,7428,4275,715,18155,359,632,56.8,622,359,10021,620
14,Norwich City,28,42.9,38.0,20103,2904,8221,8011,4111,592,20100,298,581,51.3,548,313,11957,754
15,Southampton,25,47.7,38.0,21301,2214,6529,9361,5664,818,21297,350,624,56.1,628,365,12306,941
16,Tottenham,25,51.8,38.0,24701,2514,7996,11395,5558,853,24696,375,667,56.2,588,341,17007,1092
17,Watford,30,40.7,38.0,19034,2471,7228,7781,4271,611,19032,395,751,52.6,639,389,10230,754
18,West Ham,25,47.9,38.0,22179,2438,6994,9958,5451,806,22173,306,545,56.1,521,293,14149,914
19,Wolves,26,49.5,38.0,23184,2659,8453,10141,4835,697,23183,450,771,58.4,598,341,15038,877
