,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Arsenal,27,38.0,60,581,186,32.0,15.29,4.89,0.09,0.3,17.8,22,5,8,67.3,62.3,0.11,-7.3,-7.3
1,Aston Villa,31,38.0,50,461,159,34.5,12.13,4.18,0.1,0.3,17.6,20,3,3,47.9,45.9,0.1,2.1,1.1
2,Brentford,29,38.0,46,436,141,32.3,11.47,3.71,0.09,0.28,16.3,11,6,6,51.1,46.4,0.11,-5.1,-6.4
3,Brighton,26,38.0,40,482,141,29.3,12.68,3.71,0.07,0.26,17.7,15,4,7,53.0,47.5,0.1,-13.0,-11.5
4,Burnley,23,38.0,32,405,119,29.4,10.66,3.13,0.08,0.26,17.2,14,1,2,43.8,42.8,0.11,-11.8,-11.8
5,Chelsea,26,38.0,75,583,200,34.3,15.34,5.26,0.11,0.34,17.4,26,8,9,70.7,64.0,0.11,4.3,3.0
6,Crystal Palace,24,38.0,50,404,140,34.7,10.63,3.68,0.11,0.31,16.1,13,6,8,53.8,47.6,0.12,-3.8,-3.6
7,Everton,33,38.0,42,430,130,30.2,11.32,3.42,0.08,0.28,17.7,18,6,7,47.5,42.1,0.1,-5.5,-6.1
8,Leeds United,29,38.0,42,480,142,29.6,12.63,3.74,0.08,0.26,18.3,13,5,5,50.4,46.5,0.1,-8.4,-9.5
9,Leicester City,28,38.0,62,433,164,37.9,11.39,4.32,0.14,0.37,17.8,14,2,2,52.1,50.6,0.12,9.9,9.4
10,Liverpool,27,38.0,94,721,237,32.9,18.97,6.24,0.12,0.37,16.7,13,7,8,95.1,89.3,0.13,-1.1,-2.3
11,Manchester City,26,38.0,96,704,237,33.7,18.53,6.24,0.13,0.38,16.3,17,7,9,96.6,89.3,0.13,-0.6,-0.3
12,Manchester Utd,29,38.0,56,503,179,35.6,13.24,4.71,0.11,0.3,17.7,19,3,5,61.7,57.8,0.12,-5.7,-4.8
13,Newcastle Utd,29,38.0,41,446,142,31.8,11.74,3.74,0.09,0.27,18.1,15,3,3,44.4,42.1,0.1,-3.4,-4.1
14,Norwich City,28,38.0,21,370,104,28.1,9.74,2.74,0.05,0.17,19.0,18,3,3,35.7,33.3,0.09,-14.7,-15.3
15,Southampton,25,38.0,41,478,161,33.7,12.58,4.24,0.08,0.23,17.7,24,4,4,49.9,46.7,0.1,-8.9,-9.7
16,Tottenham,25,38.0,63,486,185,38.1,12.79,4.87,0.12,0.31,16.7,16,5,5,66.5,62.6,0.13,-3.5,-4.6
17,Watford,30,38.0,33,397,123,31.0,10.45,3.24,0.08,0.26,18.1,24,1,2,44.3,42.7,0.11,-11.3,-10.7
18,West Ham,25,38.0,58,443,142,32.1,11.66,3.74,0.12,0.38,16.6,13,4,6,58.0,53.7,0.12,0.0,0.3
19,Wolves,26,38.0,35,401,133,33.2,10.55,3.5,0.08,0.26,18.6,13,1,1,41.2,40.6,0.11,-6.2,-6.6
