,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,Arouca,35,34.0,721,21.21,483,83,32,49,54,20,47,1.38,32,4,0,3,6,2
1,B-SAD,37,34.0,545,16.03,362,58,28,39,39,19,40,1.18,24,4,1,5,5,1
2,Benfica,35,34.0,914,26.88,663,83,62,61,26,19,131,3.85,97,5,12,12,4,1
3,Boavista,28,34.0,652,19.18,426,85,42,39,45,15,64,1.88,48,6,3,3,2,2
4,Braga,40,34.0,795,23.38,591,72,41,35,34,22,87,2.56,58,4,7,11,6,1
5,Estoril,31,34.0,629,18.5,436,59,28,37,45,24,58,1.71,34,4,7,6,5,2
6,Famalicão,37,34.0,712,20.94,456,89,48,44,50,25,76,2.24,47,9,6,7,5,2
7,FC Vizela,31,34.0,756,22.24,519,82,33,51,53,18,61,1.79,39,4,6,4,6,2
8,Gil Vicente FC,29,34.0,734,21.59,506,56,54,60,36,22,84,2.47,63,4,4,8,4,1
9,Marítimo,30,34.0,597,17.56,380,75,38,33,49,22,64,1.88,40,4,3,8,7,2
10,Moreirense,29,34.0,666,19.59,411,78,42,44,65,26,58,1.71,29,7,10,2,10,0
11,Paços,30,34.0,630,18.53,415,72,24,40,60,19,49,1.44,33,5,3,2,5,1
12,Portimonense,35,34.0,676,19.88,416,85,54,52,48,21,43,1.26,21,6,4,5,5,2
13,Porto,33,34.0,1052,30.94,720,107,57,89,55,24,138,4.06,90,8,12,18,8,2
14,Santa Clara,32,34.0,602,17.71,381,78,35,39,54,15,57,1.68,35,4,5,8,4,1
15,Sporting CP,31,34.0,949,27.91,698,78,38,75,32,28,125,3.68,91,4,4,16,7,3
16,Tondela,27,34.0,522,15.35,348,44,37,31,42,20,70,2.06,42,5,7,8,8,0
17,Vitória,31,34.0,807,23.74,542,82,65,51,44,23,88,2.59,51,7,6,12,9,3
