,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
0,Arouca,35,34.0,11461,15285,75.0,218726,86591,4683,5568,84.1,5039,6074,83.0,1536,2970,51.7,18,24.1,25.0,-6.1,292,951,220,65,912
1,B-SAD,37,34.0,9838,13251,74.2,185619,73724,3949,4653,84.9,4437,5295,83.8,1207,2584,46.7,11,20.8,18.9,-9.8,212,639,146,56,617
2,Benfica,35,34.0,16615,19789,84.0,294149,97191,7083,7888,89.8,7501,8372,89.6,1585,2473,64.1,58,55.0,50.5,3.0,402,1365,393,91,1258
3,Boavista,28,34.0,10587,13988,75.7,204104,78061,4097,4873,84.1,4783,5618,85.1,1418,2696,52.6,28,24.4,18.7,3.6,288,668,110,44,623
4,Braga,40,34.0,14840,18609,79.7,279751,92693,5932,6768,87.6,6765,7826,86.4,1818,3137,58.0,34,37.0,31.2,-3.0,356,1223,254,57,1024
5,Estoril,31,34.0,11591,14765,78.5,225491,78664,4178,4865,85.9,5719,6598,86.7,1500,2594,57.8,25,23.9,23.1,1.1,253,851,185,78,827
6,Famalicão,37,34.0,11418,14675,77.8,223553,86354,4385,5140,85.3,5090,5957,85.4,1653,2813,58.8,32,33.0,29.5,-1.0,289,936,217,71,873
7,FC Vizela,31,34.0,10187,13836,73.6,184230,76044,4484,5277,85.0,4271,5224,81.8,1175,2470,47.6,23,27.9,29.8,-4.9,299,844,218,76,822
8,Gil Vicente FC,29,34.0,13928,17410,80.0,267517,92893,5282,6058,87.2,6561,7547,86.9,1767,2970,59.5,32,31.7,28.8,0.3,313,1198,258,41,1079
9,Marítimo,30,34.0,11617,14955,77.7,230857,86310,4104,4828,85.0,5711,6612,86.4,1620,2857,56.7,21,22.4,20.2,-1.4,246,757,163,62,741
10,Moreirense,29,34.0,9346,13209,70.8,179411,72213,3821,4671,81.8,3955,4970,79.6,1305,2702,48.3,19,24.2,21.6,-5.2,243,802,176,62,755
11,Paços,30,34.0,11350,14804,76.7,221718,83807,4332,4992,86.8,5224,6197,84.3,1572,2888,54.4,17,21.0,21.9,-4.0,244,826,188,76,751
12,Portimonense,35,34.0,11242,14717,76.4,225169,86132,4222,4962,85.1,5155,6046,85.3,1681,3081,54.6,18,24.0,20.1,-6.0,299,820,142,36,787
13,Porto,33,34.0,16186,19566,82.7,281800,96680,7588,8412,90.2,6242,7178,87.0,1776,2820,63.0,54,60.3,55.2,-6.3,446,1297,388,67,1189
14,Santa Clara,32,34.0,10609,14029,75.6,206217,81040,4136,4876,84.8,4748,5606,84.7,1498,2822,53.1,22,28.3,23.3,-6.3,247,809,156,36,753
15,Sporting CP,31,34.0,16576,19896,83.3,293023,96142,7398,8193,90.3,7221,8175,88.3,1635,2644,61.8,45,48.4,43.8,-3.4,394,1264,338,97,1141
16,Tondela,27,34.0,10770,14260,75.5,203219,82062,4461,5200,85.8,4659,5629,82.8,1400,2668,52.5,25,21.9,19.1,3.1,213,732,158,47,714
17,Vitória,31,34.0,11541,14962,77.1,220936,81317,4731,5471,86.5,4934,5844,84.4,1600,2854,56.1,25,31.7,27.6,-6.7,322,976,246,81,920
