,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Arouca,35,34.0,15285,13337,1897,604,35,117,639,789,168,82,71,1,11461,51,258
1,B-SAD,37,34.0,13251,11368,1817,583,22,109,538,713,131,43,57,0,9838,66,258
2,Benfica,35,34.0,19789,17913,1794,504,75,133,696,778,226,96,72,2,16615,82,306
3,Boavista,28,34.0,13988,12179,1748,522,26,120,487,737,138,56,58,4,10587,61,274
4,Braga,40,34.0,18609,16810,1742,467,62,163,533,805,156,61,53,6,14840,57,268
5,Estoril,31,34.0,14765,12960,1727,492,33,125,609,679,148,78,37,2,11591,78,257
6,Famalicão,37,34.0,14675,12781,1818,570,46,172,592,769,156,59,67,1,11418,76,222
7,FC Vizela,31,34.0,13836,11960,1804,472,24,80,679,753,183,57,79,2,10187,72,317
8,Gil Vicente FC,29,34.0,17410,15510,1843,564,58,212,502,734,177,64,92,0,13928,57,301
9,Marítimo,30,34.0,14955,13029,1868,656,25,122,555,680,148,58,75,0,11617,58,267
10,Moreirense,29,34.0,13209,11339,1816,497,22,147,652,824,156,70,66,0,9346,54,281
11,Paços,30,34.0,14804,12884,1858,594,21,153,618,705,176,86,61,2,11350,62,262
12,Portimonense,35,34.0,14717,12758,1881,532,21,117,510,768,152,77,58,0,11242,78,223
13,Porto,33,34.0,19566,17821,1691,493,100,131,588,750,221,95,62,5,16186,54,277
14,Santa Clara,32,34.0,14029,12210,1744,557,41,131,478,674,160,93,30,0,10609,75,265
15,Sporting CP,31,34.0,19896,18055,1757,569,57,176,793,734,205,48,129,1,16576,84,274
16,Tondela,27,34.0,14260,12364,1837,595,40,116,456,685,122,58,47,1,10770,59,286
17,Vitória,31,34.0,14962,13082,1821,528,22,206,659,780,162,61,55,1,11541,59,226
