,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog
0,Arouca,35,49.9,34.0,18870,1910,6124,8701,4239,582,18867,268,486,55.1,605,295,11300,893
1,B-SAD,37,43.5,34.0,16615,2224,6197,7573,3029,421,16612,208,412,50.5,526,213,9706,610
2,Benfica,35,60.9,34.0,23220,1839,6173,10713,6549,972,23215,410,734,55.9,524,295,16434,1232
3,Boavista,28,44.6,34.0,17701,2036,6781,8043,3091,436,17697,350,668,52.4,540,240,10417,605
4,Braga,40,53.7,34.0,21996,2103,6691,10551,4947,674,21990,272,518,52.5,520,274,14675,1002
5,Estoril,31,47.4,34.0,18003,2468,6999,7298,3881,503,17996,265,482,55.0,478,243,11377,804
6,Famalicão,37,47.4,34.0,18447,1948,6411,8124,4133,601,18442,330,619,53.3,584,306,11245,847
7,FC Vizela,31,44.8,34.0,17360,1975,5934,7416,4211,618,17357,227,437,51.9,471,236,10032,805
8,Gil Vicente FC,29,54.4,34.0,20734,2056,6472,9663,4769,619,20731,273,524,52.1,459,235,13753,1060
9,Marítimo,30,48.7,34.0,18622,2258,7330,8216,3321,453,18616,337,641,52.6,616,294,11450,721
10,Moreirense,29,44.4,34.0,16719,1739,5319,7515,4113,583,16712,284,525,54.1,513,251,9182,735
11,Paços,30,49.0,34.0,18122,2003,6514,8259,3536,481,18117,208,412,50.5,524,250,11177,736
12,Portimonense,35,48.5,34.0,18329,2364,6964,7760,3830,525,18325,322,604,53.3,535,242,11067,778
13,Porto,33,62.6,34.0,23015,1710,5780,11080,6357,1110,23006,367,669,54.9,537,226,15968,1155
14,Santa Clara,32,45.8,34.0,17615,2092,6646,7793,3393,477,17611,270,505,53.5,564,251,10426,729
15,Sporting CP,31,59.8,34.0,23238,1877,6269,12002,5210,838,23227,363,597,60.8,507,280,16401,1122
16,Tondela,27,45.9,34.0,17794,2176,7137,7665,3182,431,17784,271,476,56.9,547,311,10622,706
17,Vitória,31,48.7,34.0,18313,1831,5608,8340,4564,660,18302,305,576,53.0,520,259,11396,893
