,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,Atalanta,32,38.0,1076,28.32,761,97,68,86,32,32,109,2.87,86,2,8,8,3,2
1,Bologna,36,38.0,780,20.53,594,70,26,41,34,15,78,2.05,59,7,2,5,3,2
2,Cagliari,33,38.0,754,19.84,517,85,24,63,34,31,63,1.66,43,5,2,5,5,3
3,Empoli,28,38.0,830,21.84,608,67,40,51,42,22,84,2.21,58,6,5,8,6,1
4,Fiorentina,28,38.0,916,24.11,651,85,38,60,59,23,99,2.61,66,3,3,13,9,5
5,Genoa,40,38.0,684,18.0,453,74,35,39,53,30,50,1.32,33,4,5,0,5,3
6,Hellas Verona,31,38.0,794,20.89,599,63,34,42,32,24,106,2.79,88,3,5,4,5,1
7,Inter,27,38.0,1173,30.87,870,103,43,92,36,29,146,3.84,111,12,4,14,5,0
8,Juventus,32,38.0,912,24.0,662,60,63,57,49,21,100,2.63,72,5,9,7,5,2
9,Lazio,27,38.0,805,21.18,599,55,40,42,41,28,129,3.39,80,11,12,12,9,5
10,Milan,28,38.0,1026,27.0,707,75,70,85,58,31,105,2.76,75,2,7,14,5,2
11,Napoli,27,38.0,1026,27.0,770,63,56,53,48,36,126,3.32,88,9,3,11,10,5
12,Roma,29,38.0,1030,27.11,684,110,58,93,56,29,93,2.45,52,9,9,13,9,1
13,Salernitana,42,38.0,736,19.37,489,84,34,54,54,21,60,1.58,33,6,3,8,7,3
14,Sampdoria,34,38.0,683,17.97,491,65,33,41,35,18,69,1.82,45,6,3,7,5,3
15,Sassuolo,29,38.0,1018,26.79,784,56,72,37,38,31,103,2.71,78,4,10,2,8,1
16,Spezia,30,38.0,668,17.58,457,59,44,40,38,30,63,1.66,38,4,3,9,3,6
17,Torino,31,38.0,825,21.71,576,92,34,61,42,20,72,1.89,48,3,6,9,5,1
18,Udinese,29,38.0,857,22.55,572,88,57,68,51,21,92,2.42,53,8,8,13,8,2
19,Venezia,39,38.0,615,16.18,428,55,30,30,46,26,59,1.55,41,4,1,5,6,2
