,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
0,Atalanta,32,38.0,17108,21262,80.5,290904,103696,8272,9367,88.3,6741,7835,86.0,1583,2760,57.4,48,55.9,47.2,-7.9,479,1384,425,81,1351
1,Bologna,36,38.0,14442,18249,79.1,246736,95014,6960,7925,87.8,5408,6436,84.0,1536,2702,56.8,34,35.2,25.9,-1.2,343,1024,299,89,913
2,Cagliari,33,38.0,11503,15761,73.0,221216,88891,4745,5714,83.0,4799,5957,80.6,1656,3147,52.6,26,32.4,27.6,-6.4,317,853,226,93,784
3,Empoli,28,38.0,12796,16700,76.6,227800,91049,5530,6362,86.9,5584,6695,83.4,1315,2560,51.4,27,32.3,25.8,-5.3,343,1013,337,72,1106
4,Fiorentina,28,38.0,17418,20910,83.3,337614,110284,6638,7448,89.1,8158,9133,89.3,2366,3482,67.9,33,43.7,41.6,-10.7,386,1211,346,105,1108
5,Genoa,40,38.0,11185,15587,71.8,198766,81745,5122,6154,83.2,4391,5630,78.0,1298,2719,47.7,19,29.4,25.5,-10.4,281,829,211,74,858
6,Hellas Verona,31,38.0,13047,17398,75.0,226861,89360,6087,7199,84.6,5057,6178,81.9,1410,2728,51.7,44,38.9,32.0,5.1,333,1046,350,71,1121
7,Inter,27,38.0,18367,21832,84.1,329949,112128,8090,8994,89.9,7784,8750,89.0,2046,3033,67.5,57,61.8,53.4,-4.8,503,1453,451,128,1305
8,Juventus,32,38.0,16459,19835,83.0,307159,106137,6680,7513,88.9,7417,8335,89.0,2015,3048,66.1,37,41.2,33.7,-4.2,388,1266,305,79,1087
9,Lazio,27,38.0,19632,23041,85.2,320294,109225,9873,10872,90.8,7249,8150,88.9,1711,2620,65.3,48,42.5,34.4,5.5,346,1399,309,53,1063
10,Milan,28,38.0,15719,19320,81.4,283819,100437,6814,7777,87.6,6719,7647,87.9,1787,2874,62.2,39,49.9,40.4,-10.9,436,1202,371,95,1147
11,Napoli,27,38.0,19572,22921,85.4,313472,105525,10332,11215,92.1,6928,7820,88.6,1611,2509,64.2,46,44.9,37.0,1.1,450,1389,366,57,1169
12,Roma,29,38.0,15221,18828,80.8,286185,100429,6118,7018,87.2,6937,7898,87.8,1874,3044,61.6,31,50.5,38.3,-19.5,434,1200,332,70,1200
13,Salernitana,42,38.0,10679,14460,73.9,195781,85345,4825,5744,84.0,4093,5155,79.4,1387,2552,54.3,19,29.0,25.1,-10.0,305,841,222,99,750
14,Sampdoria,34,38.0,12901,17022,75.8,235384,91604,5582,6565,85.0,5317,6436,82.6,1566,2904,53.9,29,30.1,27.6,-1.1,295,921,266,89,934
15,Sassuolo,29,38.0,17027,20327,83.8,290091,104126,8123,8959,90.7,6598,7443,88.6,1724,2681,64.3,39,43.7,33.8,-4.7,431,1178,316,55,1162
16,Spezia,30,38.0,11650,15503,75.1,210448,83595,5218,6112,85.4,4666,5591,83.5,1421,2833,50.2,25,29.6,22.7,-4.6,280,827,209,60,745
17,Torino,31,38.0,13943,18082,77.1,249442,87680,6255,7220,86.6,5904,6933,85.2,1434,2885,49.7,27,39.6,31.3,-12.6,364,1153,271,95,910
18,Udinese,29,38.0,11650,15251,76.4,201058,80592,5511,6357,86.7,4617,5570,82.9,1128,2322,48.6,36,41.4,29.9,-5.4,375,905,280,54,872
19,Venezia,39,38.0,11575,15320,75.6,214514,84874,4947,5783,85.5,4826,5800,83.2,1487,2780,53.5,23,28.7,23.4,-5.7,250,802,215,77,789
