,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,Atalanta,32,27.5,38,3420,90,100,38.0,418,80,237,180,24,213,1.55,65,48,17,0.45,71.2,50.4,20.8,0.55
1,Bologna,36,26.6,38,3420,90,100,38.0,418,81,242,171,20,276,1.21,44,55,-11,-0.29,48.1,59.7,-11.6,-0.31
2,Cagliari,33,26.5,38,3420,90,100,38.0,418,82,259,157,21,252,0.79,34,68,-34,-0.89,42.9,64.6,-21.7,-0.57
3,Empoli,28,24.5,38,3420,90,100,38.0,418,80,236,178,23,271,1.08,50,70,-20,-0.53,49.4,76.2,-26.8,-0.71
4,Fiorentina,28,26.4,38,3420,90,100,38.0,418,81,235,179,21,275,1.63,59,51,8,0.21,65.6,46.1,19.5,0.51
5,Genoa,40,27.0,38,3420,90,100,38.0,418,78,241,179,27,268,0.74,27,60,-33,-0.87,41.9,58.3,-16.4,-0.43
6,Hellas Verona,31,26.8,38,3420,90,100,38.0,418,81,250,165,23,244,1.39,65,59,6,0.16,57.6,53.7,3.9,0.1
7,Inter,27,28.9,38,3420,90,100,38.0,418,81,232,186,19,264,2.21,84,32,52,1.37,88.4,44.1,44.3,1.17
8,Juventus,32,27.4,38,3420,90,100,38.0,418,81,257,161,23,223,1.84,57,37,20,0.53,57.3,42.8,14.5,0.38
9,Lazio,27,29.0,38,3420,90,100,38.0,418,82,258,155,21,288,1.68,77,58,19,0.5,60.2,51.9,8.3,0.22
10,Milan,28,25.6,38,3420,90,100,38.0,418,80,244,173,23,251,2.26,69,31,38,1.0,68.2,40.4,27.8,0.73
11,Napoli,27,27.9,38,3420,90,100,38.0,418,82,247,172,18,220,2.08,74,31,43,1.13,66.3,36.8,29.6,0.78
12,Roma,29,26.4,38,3420,90,100,38.0,418,83,262,151,19,298,1.66,59,43,16,0.42,70.3,41.8,28.5,0.75
13,Salernitana,42,27.7,38,3420,90,100,38.0,418,80,235,179,23,246,0.82,33,78,-45,-1.18,42.2,71.2,-29.0,-0.76
14,Sampdoria,34,29.0,38,3420,90,100,38.0,418,82,249,167,20,264,0.95,46,63,-17,-0.45,41.2,62.2,-21.0,-0.55
15,Sassuolo,29,26.1,38,3420,90,100,38.0,418,83,251,165,17,264,1.32,64,66,-2,-0.05,62.0,72.4,-10.3,-0.27
16,Spezia,30,24.4,38,3420,90,100,38.0,418,82,278,137,23,268,0.95,41,71,-30,-0.79,42.3,72.2,-29.9,-0.79
17,Torino,31,25.2,38,3420,90,100,38.0,418,81,253,163,22,284,1.32,46,41,5,0.13,53.1,43.7,9.3,0.25
18,Udinese,29,26.2,38,3420,90,100,38.0,418,82,259,155,21,269,1.24,61,58,3,0.08,58.2,57.1,1.1,0.03
19,Venezia,39,26.1,38,3420,90,100,38.0,418,79,229,183,24,264,0.71,34,69,-35,-0.92,40.1,80.9,-40.8,-1.07
