,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog
0,Atalanta,32,55.0,38.0,25438,1873,6726,11546,7434,1124,25432,372,679,54.8,696,376,16888,1323
1,Bologna,36,50.6,38.0,22039,2583,7500,9871,4881,627,22034,326,598,54.5,563,302,14225,890
2,Cagliari,33,44.5,38.0,19741,2389,6897,8677,4382,634,19737,252,479,52.6,572,261,11299,763
3,Empoli,28,47.4,38.0,20728,2793,7095,8699,5162,786,20721,291,547,53.2,584,335,12596,1087
4,Fiorentina,28,57.7,38.0,24274,2416,8040,10772,5703,908,24262,301,542,55.5,618,275,17197,1080
5,Genoa,40,43.9,38.0,20108,2408,6892,8994,4459,692,20101,302,581,52.0,732,373,11002,833
6,Hellas Verona,31,50.6,38.0,21609,2173,6466,10020,5375,860,21601,313,590,53.1,683,383,12835,1093
7,Inter,27,56.5,38.0,25529,2563,8069,11192,6499,1172,25518,255,471,54.1,544,245,18081,1288
8,Juventus,32,51.5,38.0,23769,2489,7776,11002,5243,875,23762,367,637,57.6,607,312,16253,1068
9,Lazio,27,55.4,38.0,26713,2493,8028,13267,5670,794,26704,334,610,54.8,555,273,19417,1042
10,Milan,28,54.0,38.0,23360,2061,6810,10882,5979,977,23352,456,779,58.5,627,312,15462,1117
11,Napoli,27,58.3,38.0,26424,2261,7378,12962,6320,960,26411,357,595,60.0,525,294,19354,1152
12,Roma,29,51.4,38.0,22758,2040,7023,10707,5283,936,22749,331,631,52.5,615,287,15009,1170
13,Salernitana,42,41.2,38.0,18535,2351,6219,8206,4354,674,18530,314,586,53.6,616,330,10517,726
14,Sampdoria,34,46.1,38.0,20845,2664,7600,9107,4331,632,20842,228,422,54.0,543,270,12705,915
15,Sassuolo,29,54.9,38.0,24243,2658,8119,11128,5259,786,24236,403,678,59.4,601,386,16785,1137
16,Spezia,30,42.7,38.0,19562,2655,7650,8022,4121,581,19557,292,546,53.5,649,353,11427,725
17,Torino,31,53.3,38.0,22075,1989,6321,10339,5633,730,22069,295,512,57.6,643,286,13708,879
18,Udinese,29,42.7,38.0,19463,2297,6561,8377,4780,839,19459,363,680,53.4,653,334,11455,844
19,Venezia,39,42.3,38.0,19554,2980,8129,7767,3885,543,19550,300,577,52.0,609,313,11389,768
