,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Atalanta,32,38.0,62,598,167,27.9,15.74,4.39,0.1,0.34,16.5,16,5,6,71.2,66.9,0.12,-9.2,-9.9
1,Bologna,36,38.0,43,434,143,32.9,11.42,3.76,0.09,0.27,18.1,14,4,5,48.1,44.2,0.1,-5.1,-5.2
2,Cagliari,33,38.0,34,420,117,27.9,11.05,3.08,0.07,0.26,17.3,17,3,4,42.9,40.2,0.1,-8.9,-9.2
3,Empoli,28,38.0,47,490,151,30.8,12.89,3.97,0.08,0.26,18.5,16,7,7,49.4,44.4,0.09,-2.4,-4.4
4,Fiorentina,28,38.0,59,501,172,34.3,13.18,4.53,0.1,0.29,17.2,25,9,12,65.6,56.4,0.12,-6.6,-6.4
5,Genoa,40,38.0,26,397,106,26.7,10.45,2.79,0.05,0.19,18.8,12,6,7,41.9,36.5,0.09,-15.9,-16.5
6,Hellas Verona,31,38.0,63,455,152,33.4,11.97,4.0,0.12,0.37,16.9,15,7,8,57.6,51.3,0.11,5.4,4.7
7,Inter,27,38.0,83,667,239,35.8,17.55,6.29,0.11,0.32,15.9,13,7,11,88.4,80.5,0.12,-5.4,-4.5
8,Juventus,32,38.0,56,517,166,32.1,13.61,4.37,0.1,0.31,17.5,18,5,6,57.3,52.6,0.1,-1.3,-1.6
9,Lazio,27,38.0,74,445,185,41.6,11.71,4.87,0.15,0.36,17.4,14,7,9,60.2,53.2,0.12,13.8,13.8
10,Milan,28,38.0,66,592,187,31.6,15.58,4.92,0.1,0.33,18.4,23,5,8,68.2,62.6,0.11,-2.2,-1.6
11,Napoli,27,38.0,74,565,186,32.9,14.87,4.89,0.11,0.34,18.2,25,10,14,66.3,55.9,0.1,7.7,8.1
12,Roma,29,38.0,58,592,184,31.1,15.58,4.84,0.09,0.28,17.3,21,7,9,70.3,63.3,0.11,-12.3,-12.3
13,Salernitana,42,38.0,32,426,130,30.5,11.21,3.42,0.07,0.22,18.1,20,4,5,42.2,38.6,0.09,-10.2,-10.6
14,Sampdoria,34,38.0,42,386,118,30.6,10.16,3.11,0.1,0.34,18.1,12,2,4,41.2,37.9,0.1,0.8,2.1
15,Sassuolo,29,38.0,60,569,204,35.9,14.97,5.37,0.09,0.26,18.8,14,7,7,62.0,56.6,0.1,-2.0,-3.6
16,Spezia,30,38.0,38,381,127,33.3,10.03,3.34,0.09,0.28,18.7,17,3,5,42.3,38.5,0.1,-4.3,-3.5
17,Torino,31,38.0,43,470,142,30.2,12.37,3.74,0.08,0.26,17.3,16,6,6,53.1,48.5,0.11,-10.1,-11.5
18,Udinese,29,38.0,58,505,181,35.8,13.29,4.76,0.11,0.3,17.8,19,3,4,58.2,55.1,0.11,-0.2,-0.1
19,Venezia,39,38.0,34,349,113,32.4,9.18,2.97,0.09,0.27,18.2,22,3,5,40.1,36.0,0.11,-6.1,-5.0
